name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
"Lontong Kari ""Kang Damon""","Jalan AH. Nasution No.131, Karang Pamulang",-6.904044499999998,107.6696795,OPERATIONAL,4.6,157,"restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam Serayu,"Jalan AH. Nasution No.99, Karang Pamulang",-6.9048189,107.6729839,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
RM Talago Biru,"Jalan AH. Nasution No.17, Karang Pamulang",-6.904013799999999,107.6666615,OPERATIONAL,4.4,549,"restaurant, food, point_of_interest, establishment",1
Kolam Pancing Prayitno,Karang Pamulang,-6.8985659,107.6716466,OPERATIONAL,4.9,14,"restaurant, food, point_of_interest, establishment",Unknown
Sutan Syukur,"Jalan Cikadut Kel No.218, RT.06/RW.03, Karang Pamulang",-6.898431599999999,107.6713175,OPERATIONAL,4.9,8,"restaurant, food, point_of_interest, establishment",Unknown
Supplier Dimsum Bandung Ngidam Dimsum,"Jl. Cikadut Kp, Cijati Keluarahan No.226, RT.006/RW.003, Karang Pamulang",-6.8982277,107.6710154,OPERATIONAL,4.9,51,"store, health, restaurant, food, point_of_interest, establishment",Unknown
Andara,"4M2F+J6R, Jalan Pasir Impun Barat RT.5 Rw11/RW.No.28, Karang Pamulang",-6.898375199999999,107.6730071,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Camilanqta,"Komplek pasir impun valley, blok A9, Karang Pamulang",-6.898972000000001,107.6727899,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Kosong,"Jl. Cikadut, Gg. Cijati Arah Jalan Girimande No.Dalam, Karang Pamulang",-6.8975924,107.670367,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Pempek Selero Kito,"Jalan cikadut dalam Gang Cijati 2 No.178, RT.5/RW.3, Karang Pamulang",-6.8989138,107.6698789,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Lambe dower 2 Rika,"Jalan Cikadut No.227, Karang Pamulang",-6.8979325,107.6696048,CLOSED_TEMPORARILY,5,1,"restaurant, food, point_of_interest, establishment",Unknown
WARUNG BAROKAH,"4M29+XRR, Jalan Cikadut, Karang Pamulang",-6.8975143,107.669514,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Keday teh Ricka,"Jalan Cikadut No.6, Karang Pamulang",-6.8973353,107.6695506,OPERATIONAL,5,2,"cafe, store, restaurant, food, point_of_interest, establishment",Unknown
Nasi Kuning SEJATI (Terima pesanan aneka nasi box),"Jalan Girimande No.19 Blok B1, Karang Pamulang",-6.8955955,107.6711917,CLOSED_TEMPORARILY,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Orange,"Jalan Cikadut No.71, Karang Pamulang",-6.8967828,107.6695094,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Mie ayam bu yenii,"Jalan Cikadut No.Rt06/Rw 03, Karang Pamulang",-6.8976859,107.6691164,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Aneka cemilan dan lotek umi,"Jalan Cikadut No.129, RT.03/RW.03, Karang Pamulang",-6.8977041,107.6690393,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Kupat Tahu Singaparna SM,Jalan Cikadut No.246,-6.8995641,107.6692916,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Baso Tahu Batagor “Affiata”,"Jalan Silver Stone No.11, Karang Pamulang",-6.8975806,107.6747973,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
