name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
favehotel Hyper Square,"Paskal Hyper Square, Jalan Pasir Kaliki No.25 - 27",-6.9161969,107.5946296,OPERATIONAL,4.4,5484,"lodging, restaurant, food, point_of_interest, establishment",Unknown
Aneka China,"Jalan Kebon Jati No.65, Kebon Jeruk",-6.9164467,107.5993436,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
The Line Asia,"Ruko Paskal Hyper Square Blok B 7, JL. Pasirkaliki, No. 25-27, Kebon Jeruk Andir, Kebon Jeruk",-6.915351100000001,107.5979019,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Ahong,"Jalan Kebon Jati No.117, Kebon Jeruk",-6.9164813,107.5968824,OPERATIONAL,4.4,598,"restaurant, food, point_of_interest, establishment",2
Charm Thai,"Ruko Paskal Hypersquare Blok A no 11-12, Jalan Pasir Kaliki No.25-27",-6.9154066,107.5977322,OPERATIONAL,4.4,417,"restaurant, food, point_of_interest, establishment",2
Meat Up,"3HMW+RPC, Ciroyom",-6.915443399999999,107.5967617,OPERATIONAL,3.5,6,"restaurant, food, point_of_interest, establishment",Unknown
Hotin,"Jalan Jend. Sudirman No.178-180, Kebon Jeruk",-6.9198946,107.5976456,OPERATIONAL,4.4,310,"restaurant, food, point_of_interest, establishment",2
Gala Karunia - Resto Khas Sunda (spesial Daun Pepaya Tidak Pahit),"Gang Simchong Adibrata No.276 8A, Kebon Jeruk",-6.918358299999999,107.5950088,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Sate Hadori,"Dalam Terminal St.Hall, Jalan Stasiun Barat Selatan No.11-12, RW.12, Kebon Jeruk",-6.9154585,107.6027956,OPERATIONAL,4.5,2709,"restaurant, food, point_of_interest, establishment",2
May Star Restaurant • 23 Paskal,"23paskall Mall Shopping Center, Jalan Pasir Kaliki No.25-27, Kebon Jeruk",-6.9152733,107.5945388,OPERATIONAL,4.3,669,"restaurant, food, point_of_interest, establishment",3
HokBen - 23 Paskal,"Lantai 3, Paskal Shopping Center, 23, Jalan Pasir Kaliki No.25-27, Kebon Jeruk",-6.9152733,107.5945388,OPERATIONAL,3.6,142,"restaurant, food, point_of_interest, establishment",2
Kebab Turki Baba Rafi,"Paskal Food Market, Jalan Pasir Kaliki No.25-27, Ciroyom",-6.914934999999999,107.594301,OPERATIONAL,3.7,6,"restaurant, food, point_of_interest, establishment",Unknown
