name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Soto Banjar,"Jalan Jakarta No.48, Food Court Yomart, Kebon Waru, Batununggal, Kebonwaru",-6.914321999999999,107.6414543,OPERATIONAL,3,3,"restaurant, food, point_of_interest, establishment",Unknown
Mie Baso & Baso Tahu Yeyen,"Food Court Yomart, Jalan Jakarta No.48, Kebonwaru",-6.9142109,107.6414736,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
kupat tahu singaparna,"Jalan Banten No.15, Kebonwaru",-6.916451299999999,107.6410002,OPERATIONAL,4,5,"restaurant, food, point_of_interest, establishment",Unknown
Sate & Soto H Ibrohim Kebonwaru,"Jalan Banten No.15, Kebonwaru",-6.916485499999999,107.6410111,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Solaria - Kiara Artha Park,"Solaria Kiara Artha Park, Jalan Banten Lantai Dasar, Kebonwaru",-6.9162838,107.6416023,OPERATIONAL,4.2,454,"restaurant, food, point_of_interest, establishment",2
Omah Bumahai Bandung,"3JMR+9M6, Jalan Banten, Kebonwaru",-6.9165987,107.6416387,OPERATIONAL,3.5,13,"restaurant, food, point_of_interest, establishment",Unknown
"Raja Sei, Kiara Artha Park","AIUEO Space, Kiara Artha Park",-6.915853,107.641327,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
WARUNG BU YULI,"Kiara Park, Jalan Banten, Kebonwaru",-6.9163028,107.6406708,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Pizza Head, Kiara Artha Park","3JMR+MM4, AIUEO Space, Kiara Artha Park",-6.915864699999999,107.6416877,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Xi Boba, Kiara Artha Park","3JMR+JMX, AIUEO Space, Kiara Artha Park",-6.915893899999999,107.6417219,OPERATIONAL,3.5,4,"restaurant, food, point_of_interest, establishment",Unknown
Fire Blue Chicken,"Jalan Banten No.17, Kebonwaru",-6.9167319,107.6406969,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
AIUEO Space,"Kiara Artha Park, Jalan Banten No.12 C10, Kebonwaru",-6.9158814,107.641768,OPERATIONAL,4.5,11,"restaurant, food, point_of_interest, establishment",Unknown
Tazawa Ramen,"AIUEO Space, Kiara Artha Park",-6.9157382,107.641698,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
