name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Envious Sky and Lounge,"3JFW+F36, Kebun Jayanti",-6.926329699999999,107.6451356,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
Rumah Makan Ampera Minang,"Kiara Condong, Jalan Stasiun Lama No.90, Kebun Jayanti",-6.9252805,107.6463154,OPERATIONAL,4.1,16,"restaurant, point_of_interest, food, establishment",Unknown
Bubur ayam bonti,"Jalan Kebon Jayanti No.38, Kebun Jayanti",-6.927372300000001,107.6469672,OPERATIONAL,3.5,19,"restaurant, point_of_interest, food, establishment",Unknown
Lomie dan Yamin 88 Bonti,"Jalan Kebon Jayanti No.40, Kebun Jayanti",-6.9274472,107.6470234,OPERATIONAL,5,16,"restaurant, point_of_interest, food, establishment",Unknown
Masuk psm dalem,"Jalan Kebon Jayanti No.34, Kebun Jayanti",-6.927266500000001,107.6468226,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Dechick Fried Chicken Bonti,"Jalan Kebon Jayanti No.35, Kebun Jayanti",-6.927312499999999,107.6467577,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
SEAFOOD LIMAU RJ,Jalan Kebon Jayanti No.rt01 RW 05,-6.927384099999999,107.6471232,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Lotek Bu Yani,"Jalan PSM No.Dalam, Kebun Jayanti",-6.927705899999999,107.6466281,OPERATIONAL,4.5,2,"restaurant, point_of_interest, food, establishment",Unknown
Bala Bala Bi Enung,"3JFW+5J8, Jalan Kebon Jayanti, Kebun Jayanti",-6.9270819,107.6465741,OPERATIONAL,4,4,"restaurant, point_of_interest, food, establishment",Unknown
Warung Nasi Kabita Sederhana,"Jalan Kebon Jayanti No.29, Kebun Jayanti",-6.9270038,107.6466395,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Bandung Dimsum,"Jalan PSM No.Dalam, Kebun Jayanti",-6.926983799999999,107.6471572,OPERATIONAL,4.8,6,"restaurant, point_of_interest, food, establishment",Unknown
Sakinah Food & Fresh,"Jln Kadipaten III No.3 Rt.04/Rw.03, RT.03, RT.03/RW.04, Antapani Kidul",-6.926902500000001,107.6472438,OPERATIONAL,5,12,"restaurant, point_of_interest, food, establishment",Unknown
Mie Ayam Dermayu,"Jalan Kebon Jayanti No.21 rt03, RW.3, Kebun Jayanti",-6.926892899999999,107.6464224,OPERATIONAL,5,5,"restaurant, point_of_interest, food, establishment",Unknown
Rm Sumber jaya,"Jalan Kebon Jayanti No.7, Kebun Jayanti",-6.9276579,107.6475851,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Jajanan FAZ(seblak teh devi),"Jalan PSM Dalam No.222 134B, Kebun Jayanti",-6.9275558,107.6461234,OPERATIONAL,5,4,"restaurant, point_of_interest, food, establishment",Unknown
Pawon Mamih,"Jalan Kebon Jayanti No.55, Kebun Jayanti",-6.927701199999999,107.6476477,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
