name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
meerbox,"3H5P+JWV, Jalan Madesa, Kopo",-6.9408863,107.5873113,OPERATIONAL,3.8,4,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Raisa,"3H5Q+J26, Jalan Haji Badrudin Ⅱ Jalan Haji Bardan Raya, Kopo",-6.940955799999999,107.5875163,OPERATIONAL,4.4,7,"restaurant, food, point_of_interest, establishment",Unknown
Mie Bakso e&,Kopo,-6.941269500000001,107.587898,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Seblak_manyus,"Jalan Cetarip Barat kidul dlm III No.09, RT.05/RW.07, Kopo",-6.941392400000001,107.5874303,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Bang Jago,"Jalan Haji Badrudin Ⅱ Kel No.06 Blok G, RT.05/RW.07, Kopo",-6.9414013,107.5872784,OPERATIONAL,5,14,"restaurant, food, point_of_interest, establishment",Unknown
Neng Icha,"Gang Cetarip Kidul Dalam III No.07, Kopo",-6.941137399999999,107.5871443,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Cijengkol,"3H5Q+P2F, Kopo",-6.9406789,107.5875568,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
kopo,"3H5Q+P2F, Kopo",-6.9406789,107.5875567,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Hendra Ivan Hadiansyah,Kopo,-6.9418285,107.5878139,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Budi Citarip,"Jalan Cetarip Barat No.9, Kopo",-6.941084999999998,107.5884858,OPERATIONAL,4.6,82,"cafe, restaurant, food, point_of_interest, establishment",1
kedai sarapan pelangi,"3H5Q+GC3, Kopo",-6.9411972,107.5884949,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Seblak Bu Yati,"Jalan Soekarno Hatta Gang Pusri No.24, Kopo",-6.9409952,107.5867444,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
