name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Farel Patisserie Cafe,"Jalan Terusan Buah Batu No.259, Kujangsari",-6.962052600000001,107.6388035,OPERATIONAL,4.5,311,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",2
Dapur Nene,"2JPQ+HFF, JL Terusan Buah Batu, Bojong Soang, Kujangsari",-6.963574400000001,107.6386678,OPERATIONAL,4.6,5,"restaurant, food, point_of_interest, establishment",Unknown
JSI Intermedia,"Jalan Terusan Buah Batu No.300, Kujangsari",-6.96411,107.6380741,OPERATIONAL,4.4,8,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Ayam Gober 147,"Jalan Terusan Buah Batu No.147, Kujangsari",-6.9568017,107.6396195,OPERATIONAL,4.5,28,"restaurant, food, point_of_interest, establishment",1
Pempek Palembang Belide,"Jalan Jakapurwa No.1 Blok B, Kujangsari",-6.963007999999999,107.6493501,OPERATIONAL,4.6,161,"restaurant, food, point_of_interest, establishment",2
Nasi kuning & nasi bakar ibu dede,"2JQV+G9P, Gang Mugih, Kujangsari",-6.961155299999999,107.6434606,OPERATIONAL,4.6,5,"restaurant, food, point_of_interest, establishment",Unknown
Bakso ikan by Jagat Rasa,"samping RM TADAYO, Jalan Terusan Logam Gang Mulya No.170, RT.03/RW.04",-6.960706,107.6428214,OPERATIONAL,4.6,14,"restaurant, food, point_of_interest, establishment",Unknown
seblak ibu cupang,"Jalan Terusan Logam Gang Mugih No.261A, Kujangsari",-6.961407700000001,107.6437119,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Cimol Molani,"Jl. Logam, Gg. Mulya, No. 178, RT 03/04, Kujangsari, Bandung Kidul, Kota Bandung Kp. Ciparay, Gang Mulya, Kujangsari",-6.960701299999999,107.6430391,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
"Ayam Garang Asem, M@yra","Jalan Buah Batu Regency No.2 Blok D1, Kujangsari",-6.9617103,107.6418674,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Surabi ibra (AKSARA FOOD),"jembatan sebelah kanan, Surabi ibra (AKSARA FOOD rt003 rw004, Gang Mulya",-6.9606791,107.6432071,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai LLC (Pak Lili),"Jalan Terusan Logam Gang Mulya No.222, Kujangsari",-6.9608065,107.6437997,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
RM. Amanah,"Jalan Terusan Logam No.251, Kujangsari",-6.961009799999999,107.6440919,OPERATIONAL,4.5,113,"restaurant, food, point_of_interest, establishment",Unknown
RM Tadayo,"Jalan Logam No.244, Kujangsari",-6.960837,107.64402,OPERATIONAL,4.3,124,"restaurant, food, point_of_interest, establishment",1
Mie Ayam Baso Solobaru Mas Par,"Jalan Logam No.252B, Kujangsari",-6.961055399999998,107.6441373,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
VITO CELL / ES PISANG IJO ICE CREAM DAN SMOOTHIES PENGKOLAN,"Jalan Logam No.252 B, Kujangsari",-6.961039199999999,107.64414,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Mie kocok baso 'oby',"Jalan Terusan Logam No.219, Kujangsari",-6.960763900000001,107.6439883,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Pisang ijo ice cream PENGKOLAN,"Jalan Logam No.252 B, RT.004/RW.004, Kujangsari",-6.961068799999999,107.6442024,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
