name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Bakmi Jowo DU 67,"Jalan Dipati Ukur No.67, Lebakgede",-6.8896909,107.6159427,OPERATIONAL,4.3,2320,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Rempah Mafia Dipati Ukur,"Jalan Dipati Ukur No.51A, Lebakgede",-6.8918577,107.6173471,OPERATIONAL,4.2,4240,"restaurant, food, point_of_interest, establishment",2
Ayam Geprek Bebas,"Jalan Tengku Angkasa No.32A, Lebakgede",-6.891307399999999,107.6165081,OPERATIONAL,4.5,5738,"restaurant, food, point_of_interest, establishment",1
Mande Kanduang,"Jalan Haur Pancuh No.76, Lebakgede",-6.892361199999999,107.6179927,OPERATIONAL,4.3,216,"restaurant, food, point_of_interest, establishment",Unknown
Sambal Lalap,"Jalan Dipati Ukur No.51, Lebakgede",-6.8909329,107.6170214,OPERATIONAL,4.4,955,"restaurant, food, point_of_interest, establishment",1
Steak Ranjang Dipatiukur - Steak Enak di Bandung,"Jalan Dipati Ukur No.248, Lebakgede",-6.8910819,107.6173126,OPERATIONAL,4.4,3975,"restaurant, food, point_of_interest, establishment",2
Waroeng Steak And Shake Dipatiukur Bandung,"Jalan Dipati Ukur No.63, Lebakgede",-6.8902218,107.6161304,OPERATIONAL,4.4,5225,"restaurant, food, point_of_interest, establishment",2
Lemper Purnama Bandung,"Ruko Hotel NEO, Jalan Dipati Ukur No.72 A, Lebakgede",-6.8896904,107.6163458,OPERATIONAL,4.9,29,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Di-bobain & Indomie Nusantara,"Jalan Tubagus Ismail Bawah No.16-B, Lebakgede",-6.8891833,107.6164573,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung Mba Tun,"Jalan Singa Perbangsa No.103A, Lebakgede",-6.896027,107.6179159,OPERATIONAL,4.8,43,"restaurant, food, point_of_interest, establishment",1
Cekeran Midun,"Monumen Perjuangan, Jalan Singa Perbangsa Jalan Dipati Ukur No.103C, Lebakgede",-6.8962101,107.6180616,OPERATIONAL,4.6,2995,"restaurant, food, point_of_interest, establishment",2
"Martabak Mertua, Dipatiukur","Jalan Dipati Ukur No.84A, Lebakgede",-6.888587899999999,107.6157532,OPERATIONAL,4.3,787,"restaurant, food, point_of_interest, establishment",2
Richeese Factory Dipatiukur,"Jalan Dipati Ukur No.87, Lebakgede",-6.887831199999999,107.6150776,OPERATIONAL,4.3,2931,"restaurant, food, point_of_interest, establishment",2
Se'i Sapi Lamalera,"Jalan Bagusrangin No.24A, Lebakgede",-6.8982585,107.6174532,OPERATIONAL,4.6,9762,"restaurant, food, point_of_interest, establishment",2
