name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Cipaku Garden Hotel,"Jalan Cipaku Indah X No.2 4, RW.4, Ledeng",-6.861432600000001,107.6011986,OPERATIONAL,4.4,2202,"park, lodging, restaurant, food, point_of_interest, establishment",Unknown
dika catering,"Jalan Cidadap Girang, Ledeng",-6.8550313,107.5978048,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
Nila Nyengir Resto,"Jalan Budi Indah No.58, Ledeng",-6.853828399999999,107.5984807,OPERATIONAL,4.1,748,"restaurant, food, point_of_interest, establishment",2
HTL,"Komplek Setiabudi Terrace, Jl Cipaku Indah 2, Blok A-14, Ledeng",-6.861162999999999,107.599963,OPERATIONAL,4.5,6,"restaurant, food, point_of_interest, establishment",Unknown
Warung Bi Ai,"4HVX+PH6, Ledeng",-6.8557073,107.5988877,OPERATIONAL,4.3,50,"restaurant, food, point_of_interest, establishment",Unknown
Warung MahRen,"Jalan Cidadap Girang No.21, RT.07/RW.05, Ledeng",-6.855432999999999,107.5991679,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum Zevanya,"Girang, Jalan Cidadap Girang No.14, RT.07/RW.05, Ledeng",-6.8554545,107.5987302,OPERATIONAL,4.8,16,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum Sultan Cidadap,"Girang, Jalan Cidadap Girang No.14, RT.07/RW.05, Ledeng",-6.8554271,107.5986513,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam bang al,"4HVX+VCH, Ledeng",-6.855324199999999,107.5986012,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Seblak WK Mamah Yusuf,"Jalan Cidadap Girang No.27, RT.7/RW.5, Ledeng",-6.855694100000001,107.5984398,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Jajanan Netizen,"Jalan Cidadap Girang No.3, RT.3/RW.5, Ledeng",-6.8549162,107.5987141,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Nyi'Nden,"Jalan Cidadap Girang No.40B, RT.07/RW.05",-6.8563071,107.5983388,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Baso Urat/Cincang Molin,"Jalan Cidadap Girang No.30, Ledeng",-6.854803,107.598947,OPERATIONAL,4.3,16,"restaurant, food, point_of_interest, establishment",Unknown
Adjie kurnia,Ledeng,-6.8548038,107.5987764,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
MIE AYAM JAMUR MANG AJOR,Ledeng,-6.8562612,107.5982292,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
P K L Sawahlega-Cidadap,"Kp Sawahlega No.52 RT.03/RW.RT 06, Ledeng",-6.854654099999999,107.5992675,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
