name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Ayam Bakar Taliwang 59 (pindah ke sarijadi),"Jalan Tata Surya No.59, Manjahlega",-6.9471297,107.666621,OPERATIONAL,4.3,69,"restaurant, food, point_of_interest, establishment",Unknown
Rm Andalusia,"Jalan Tata Surya No.35, Manjahlega",-6.945528999999999,107.6668727,OPERATIONAL,4.3,926,"restaurant, food, point_of_interest, establishment",2
Baso Jeletot,"Jalan Tata Surya No.23, Manjahlega",-6.944325999999999,107.6671052,OPERATIONAL,4.3,15,"restaurant, food, point_of_interest, establishment",Unknown
Asia Martabak Premium,"Jalan Tata Surya No.19, Manjahlega",-6.9441436,107.6671076,OPERATIONAL,3.8,6,"restaurant, food, point_of_interest, establishment",Unknown
Kings Kebab,"Jalan Mars Utara III No.1, Manjahlega",-6.943846499999999,107.6669863,OPERATIONAL,4.6,85,"restaurant, food, point_of_interest, establishment",2
Martabak Mertua,"Jalan Mars Utara III Margahayu Raya No.22 Blok.Y, Manjahlega",-6.9434017,107.6658172,OPERATIONAL,4.4,512,"bar, restaurant, food, point_of_interest, establishment",2
Pizza Hut Delivery - PHD Indonesia,"Kompleks Metro Bandung, Jalan Venus Raya MARGAHAYU LAND No.24, Manjahlega",-6.941450200000001,107.6671548,OPERATIONAL,4.6,1203,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2
Nasi Goreng 99,"Jalan Taman Saturnus, Margahayu",-6.9528294,107.6641404,OPERATIONAL,4.3,37,"store, restaurant, food, point_of_interest, establishment",Unknown
Tekwan Tenda Biru,"Komplek Metro, Jalan Venus Timur VIII No.1, Manjahlega, Rancasari, Manjahlega",-6.939869699999999,107.6674104,OPERATIONAL,4.6,9,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Ayam Mang H.Oyo - Metro,Jalan Venus Raya No.4,-6.939314800000001,107.6669477,CLOSED_TEMPORARILY,4.5,36,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Bakar KQ5,"Jalan Soekarno-Hatta No.620, Manjahlega",-6.9393544,107.6646575,OPERATIONAL,4.4,3091,"restaurant, food, point_of_interest, establishment",1
Warung Empal Gentong & Empal Asem Bu Dadang,"Jalan Merkuri Selatan I No.11A, Manjahlega",-6.947018700000001,107.6668458,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
