name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Beukensgaleri,"Jl. Marga Bhakti No.53, RT./RW/RW.004/004, Margahayu Utara",-6.9481905,107.5761183,OPERATIONAL,3.7,3,"restaurant, food, point_of_interest, establishment",Unknown
3Q SOTO,Jalan Haji Anwar,-6.947911,107.5765275,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
DAPUR BU EUIS,"3H2G+VJ3, North Margahayu",-6.947858200000002,107.5765458,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Kedai kabita,"Jalan Haji Anwar No.10, Margahayu Utara",-6.947236899999999,107.5760154,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Pabrik Dim sum/Dimsum Just Eat,"Komp. Cibolerang blok C no.15 RT 4 RW 4 Kel, Margahayu Utara",-6.947235,107.576702,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nugget Sukamenak (sukamenak culinaire),"Komplek, Jalan Sukamenak Indah No.13, Sayati",-6.9468286,107.5761615,OPERATIONAL,3.9,9,"restaurant, food, point_of_interest, establishment",Unknown
Warung Lotek Bu Nunung,"Komplek Cibolerang Depan Blok C49 Rt 03 Rw 04 Kecamatan babakan Ciparay, Margahayu Utara",-6.946811599999999,107.5759361,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bakso & Bubur 'Mustika Sari',"3H2G+56J, Jalan Margajaya Dlm II, Margahayu Utara",-6.9495396,107.5755162,OPERATIONAL,4.8,12,"restaurant, food, point_of_interest, establishment",Unknown
Pempek Duta,"Jalan Margajaya Dlm II, Margahayu Utara",-6.949554999999999,107.5754243,OPERATIONAL,4.6,26,"restaurant, food, point_of_interest, establishment",Unknown
Hayam Bakar HAKARGO,"3H2G+46M, RT.002/RW.012, Sayati",-6.949674399999999,107.5755544,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bumi ega ce enyoi,"3H2G+46M, BLOK KASUR RT.02/RW05, cigondewah kidul",-6.949674399999999,107.5755544,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung nasi berkah 99,"3H2G+46M, Jl. Batu Rengat RT.02/RW.01, Cigondewah Kaler",-6.949674399999999,107.5755544,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kamuku bandung,"Dapur Kamuku, Jalan Margajaya Raya No.27, Margahayu Utara",-6.9498338,107.5759809,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai deon,"Gang Karyabakti No.35, Margahayu Utara",-6.946577700000001,107.576786,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
SAJA 2,"Jalan Satria Wetan No.16, Margahayu Utara",-6.946922999999998,107.5748971,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Roti Bakar Kukus Cibolerang,"2HXG+XCJ, Jalan Cibolerang Jalan Margajaya Raya, Margahayu Utara",-6.9500392,107.5760054,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pempek Keys,"komplek cibolerang Jalan Margajaya II Blok. D8, Margahayu Utara",-6.949963599999998,107.57525,OPERATIONAL,4.6,11,"restaurant, food, point_of_interest, establishment",Unknown
