name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Brotherhood Coffee And Food,"3P92+CCC, Mekar Mulya",-6.931445599999999,107.7010044,OPERATIONAL,5,7,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Komplek,"3M9X+XVP, Jalan Pamekar Timur X, Mekar Mulya",-6.9300352,107.6997133,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown
NASI GORENG MIMOSA,"Jalan Pamekar Raya No.95, Mekar Mulya",-6.930769099999999,107.6988273,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Emen Baso Panghegar,"Jalan Pamekar Barat I No.354, Mekar Mulya",-6.9306106,107.6988237,OPERATIONAL,4.5,307,"restaurant, food, point_of_interest, establishment",2
Family Sakato Masakan Padang,"Jalan Pamekar Raya No.101B, Mekar Mulya",-6.9310025,107.698708,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bakmi & Kopi Naravati,Jalan Pamekar Timur X No.2,-6.9298905,107.6994951,OPERATIONAL,5,4,"cafe, store, restaurant, food, point_of_interest, establishment",Unknown
Kedai amak,"Jl. Mekar sugih No.10, Mekar Mulya",-6.930739399999999,107.7012426,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Cuanki,"3P92+PF5, Jalan Mekar Raya, Mekar Mulya",-6.930739399999999,107.7012426,OPERATIONAL,4.3,4,"restaurant, food, point_of_interest, establishment",Unknown
Sarapan pagi Nasi Kepal (Nasi Liwet Kepal PTSL),Jalan Pamekar Raya No.105,-6.9311668,107.6986419,OPERATIONAL,5,26,"restaurant, food, point_of_interest, establishment",Unknown
Racikan Bu Har,"Jalan Pamekar Timur, Panghegar permai",-6.929795799999999,107.6993585,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
De Chick,"Jalan Pamekar Raya Jalan Pamekar Barat IV No.2, Mekar Mulya",-6.929716500000001,107.6992551,OPERATIONAL,4.2,10,"restaurant, food, point_of_interest, establishment",Unknown
RM Junjung Sirih,"Jalan Pamekar Raya, Pamekar Timur 4 No.1, Mekar Mulya",-6.9295772,107.6995273,OPERATIONAL,4.5,28,"restaurant, food, point_of_interest, establishment",Unknown
Isti Wedding and Catering Panghegar Bandung,"Jalan Pamekar Barat X No.2, Mekar Mulya",-6.930409800000001,107.6985575,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
gehu pedas ridho,"Jalan Pamekar Timur VIII No.6, Mekar Mulya",-6.9295125,107.699676,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Bunda,Indonesia,-6.929521900000001,107.7004644,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
NUTOTO,"Jalan Pamekar Raya No.92, Mekar Mulya",-6.929563499999998,107.6993393,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Ahjin Dimsum,Jl mekar 10 block 4 D189,-6.930633599999999,107.7016113,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Rabbani Selera Pedas,"Jalan Pamekar Raya No.117, Mekar Mulya",-6.931713800000001,107.6983684,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
