name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Kopi-Q,"Kompleks Istana Mekar Wangi, Ruko No. 1-5, Jalan Mekar Agung, Mekarwangi",-6.955548500000001,107.6065055,OPERATIONAL,4.6,2335,"cafe, restaurant, food, point_of_interest, establishment",2
168 Tattoo Studio And Coffee Shop,"Kompleks Mekar Wangi, Jalan Mekar Laksana No.21, Mekarwangi",-6.9535107,107.6054936,OPERATIONAL,4.5,213,"cafe, store, restaurant, food, point_of_interest, establishment",2
Maboo BBQ Resto,"Jalan Mekar Utama No.81, Mekarwangi",-6.953235800000001,107.6062118,OPERATIONAL,4.6,1099,"restaurant, food, point_of_interest, establishment",2
Gill's Cafe,"Kompleks Mekar Wangi, Jalan RD Rangga Kencana No.40, Mekarwangi",-6.952581200000001,107.5998362,OPERATIONAL,4.3,335,"cafe, restaurant, food, point_of_interest, establishment",2
SHSD Sambel Hejo Sambel Dadak Mekar Wangi,Jalan RD Rangga Kencana No.58,-6.952494999999999,107.599095,OPERATIONAL,4.4,1116,"restaurant, food, point_of_interest, establishment",2
TOKO MEKAR AGUNG 43,"mekar agung 43, Jalan Mekar Agung No.25, Mekarwangi",-6.955082499999999,107.6047648,OPERATIONAL,4.3,27,"restaurant, food, point_of_interest, establishment",Unknown
Shichirin,"Jalan Mekar Agung No.53, Mekarwangi",-6.9550919,107.60507,OPERATIONAL,3.8,5,"restaurant, food, point_of_interest, establishment",Unknown
Veimo Vegetarian is Modern,"Perumahan Jalan Mekar Agung No.53A, Mekarwangi",-6.955103599999999,107.6051525,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kitchen Veggie,"Jalan Mekar Agung No.53A, Mekarwangi",-6.955074899999998,107.60515,OPERATIONAL,4.6,37,"restaurant, food, point_of_interest, establishment",Unknown
Warung nasi Ibu Imas(Motah),"2JV4+X3H, Mekarwangi",-6.955051000000001,107.6052341,OPERATIONAL,4.5,15,"restaurant, food, point_of_interest, establishment",Unknown
Catbox,"Jalan Mekar Permai Perumahan No.12, Mekarwangi",-6.954700099999999,107.6036184,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Markazlicious,"Jalan Mekar Permai II No.12, Mekarwangi",-6.9538957,107.604939,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
