name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Saladeisha,"Jl. Batuwastra No 9 Rt 02 Rw 07 Kel. Mekarjaya Kec, Mekarjaya",-6.9618723,107.6678559,OPERATIONAL,5,43,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Serundeng Dasar Milik,"Jalan Terusan Derwati No.2, Mekarjaya",-6.9638388,107.6730493,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Delicious Chicken Express,"Jalan Ciwastra No.78, Mekarjaya",-6.9611059,107.6656419,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Lele Bandung,"2MP9+QMF, Mekarjaya",-6.9630516,107.6691585,OPERATIONAL,4.7,6,"restaurant, food, point_of_interest, establishment",Unknown
Cilox Jaman Now - Head Office,"Salsabila Ciwastra Regency, Jalan Rancasawo, Mekarjaya",-6.962575799999999,107.6695419,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Ceker Mr.Bam,"Jalan Empang No.36, Mekarjaya",-6.963426399999999,107.6699021,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Kang Bewok,"2MQ9+7PG, Mekarjaya",-6.9618049,107.6693171,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam Bakar,"Jalan Rancasawo No.346, Margasari",-6.961843000000001,107.669706,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
KASMA IKAN BAKAR,"Jalan Ciwastra, Mekarjaya",-6.9617835,107.669257,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Sie jeletot,Jalan Ciwastra No.345,-6.9617833,107.6695856,OPERATIONAL,4,10,"restaurant, food, point_of_interest, establishment",Unknown
"Seafood Azizah, Margasari - Bandung","Jalan Ciwastra No.345, Margasari",-6.9617833,107.6695856,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Labbaik,"Jalan Ciwastra Bodogol No.217, Mekarjaya",-6.9617727,107.6692176,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bakso cetar asyifa,"Jalan Ciwastra Jalan Rancasawo No.26, Margasari",-6.9617533,107.6694951,OPERATIONAL,3.7,3,"restaurant, food, point_of_interest, establishment",Unknown
