name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PT. Nutri Prima Sejahtera,"No., Jalan Batununggal Indah II No.115, Mengger",-6.958723,107.623695,OPERATIONAL,4.8,5,"store, health, restaurant, food, point_of_interest, establishment",Unknown
Aqiqah Alhusna,"2JPP+47W, Jalan Terusan Batu Nunggal, Mengger",-6.964647599999999,107.6357087,OPERATIONAL,4.5,12,"restaurant, food, point_of_interest, establishment",Unknown
Chaw's Plate,"Jl. Batununggal Abadi I No.49MenggerKec, Mengger",-6.9599004,107.6292054,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kedai BN (Chiclin Batununggal),"Jalan Batununggal Indah VIII No.42, Mengger",-6.959379200000001,107.628444,OPERATIONAL,4.7,28,"restaurant, food, point_of_interest, establishment",Unknown
Mie Bakso Ihsan38 dan Marhaba13,"Jalan Batununggal Indah IV No.89, SSB",-6.959290999999999,107.6278308,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Ayam Oriental Batununggal,"Jalan Batununggal Indah IV No.79, Mengger",-6.958569600000001,107.6280275,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mengemudi,"Jalan Batununggal Indah IV No.75, Mengger",-6.9582286,107.6280969,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Mamakoe Home-made Cooking (by order),"Jalan Batununggal Permai IV No.14, Mengger",-6.957844499999998,107.6290826,OPERATIONAL,4.8,5,"restaurant, food, point_of_interest, establishment",Unknown
Dagang Keripik,Jalan Batununggal Permai II No.63,-6.958019699999999,107.6299134,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Mie Baso Tasik Rizkia,"Jalan Batununggal Indah IV No.59, Mengger",-6.957648899999998,107.6282099,OPERATIONAL,4.2,11,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum Dow,"2JRH+W7W, Mengger",-6.957642799999999,107.6282112,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
ES TEH KHAS SOLO DAN AYAM GEPREK,"2JRG+9F8, Jalan Batununggal Indah VIII, Mengger",-6.9590855,107.6261938,OPERATIONAL,3,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Mamah Iyus,"Jalan Batununggal Mulia Ⅸ No.1, Mengger",-6.962590300000001,107.6303147,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
UMKM Alumni,"2JVH+28J, Jalan Batununggal Indah IV, Mengger",-6.957410299999999,107.6282544,OPERATIONAL,4.3,7,"restaurant, food, point_of_interest, establishment",Unknown
kantin eva ceker gedeg,"Jalan Batununggal Indah I No.76, Batununggal",-6.9581082,107.6264159,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Bubur iie,"Jalan Batununggal Indah I No.76, Batununggal",-6.9580873,107.626411,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Tahu gejrot maaknyuusss khas cirebon,"Jalan Batununggal Indah IV No.47, Mengger",-6.9569842,107.628329,OPERATIONAL,4.7,9,"restaurant, food, point_of_interest, establishment",Unknown
Angkringan GepENg W0iiii..,"Jalan Batununggal Indah I No.70, Mengger",-6.957718400000001,107.6264829,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
