name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Cimin Gaul,"Jalan Cikutra No.167, Neglasari",-6.893911299999999,107.6405561,OPERATIONAL,4.7,9,"restaurant, food, point_of_interest, establishment",Unknown
Martabak dan Roti Bakar CAPINO 1,"samping koramil, Jalan Cikutra, Neglasari",-6.893416200000001,107.6362124,OPERATIONAL,4.1,58,"cafe, restaurant, food, point_of_interest, establishment",1
Kanaya Food Court,"Jalan Cikutra No.237, Neglasari",-6.8935936,107.6359289,OPERATIONAL,4.5,2491,"restaurant, food, point_of_interest, establishment",2
Cinde Paviliun,"Jalan Pahlawan No.58, Neglasari",-6.896557,107.634645,OPERATIONAL,4.5,2363,"restaurant, food, point_of_interest, establishment",2
Kunyit Restaurant,"Jalan Khp Hasan Mustopa No.47/57, Neglasari",-6.898979,107.64164,OPERATIONAL,4.9,1217,"cafe, restaurant, food, point_of_interest, establishment",Unknown
Cita Sari,"Jalan Cikutra No.147, Neglasari",-6.897944400000001,107.6435417,OPERATIONAL,4.8,6,"restaurant, food, point_of_interest, establishment",Unknown
Ummi Kitchen,"Jalan Cikutra Baru VIII No.8, Neglasari",-6.894322900000001,107.639059,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum 88 DU,Jalan Cikutra Baru VIII No.12,-6.894443499999999,107.6392823,OPERATIONAL,4.2,32,"store, restaurant, food, point_of_interest, establishment",Unknown
Dapur 812,"Jalan Cikutra Baru VIII No.12 - A, Neglasari",-6.894321799999999,107.6392989,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie tektek ojan,"Jalan Cikutra No.211, Neglasari",-6.8938562,107.6385223,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
BPK. Inganta Jumpa,"No 211 C, Jalan Cikutra, Neglasari",-6.893765299999999,107.6388066,OPERATIONAL,4.6,462,"restaurant, food, point_of_interest, establishment",2
Damar Crepes & Baso Tahu,"4J4Q+FFW, Jalan Cikutra, Neglasari",-6.893765999999999,107.638711,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown
Kebuli Al-Khalid Cikutra,"Jalan Cikutra No.213, Neglasari",-6.893841,107.6383781,OPERATIONAL,4.9,15,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Bungo Tanjuang Masakan Padang,"4J4Q+GH8, Neglasari",-6.8937129,107.6389619,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Altair's Kitchen,"Jalan Simpang Pahlawan III No.27, Neglasari",-6.8944198,107.6380028,CLOSED_TEMPORARILY,4.9,17,"restaurant, food, point_of_interest, establishment",Unknown
