name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Baladewa 53,"Utara Jalan Baladewa No.53, Pajajaran",-6.901146799999999,107.5904369,OPERATIONAL,5,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Griya Pasteur,"Jl. Dr. Djunjunan No.115-A, Pajajaran, Kec. Cicendo, Jawa",-6.8952256,107.5883499,OPERATIONAL,4.5,5385,"supermarket, department_store, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",Unknown
Raja Baso Tahu Saboga,"Jalan Terusan Katamso No.143, Pasteur",-6.894237,107.5851349,OPERATIONAL,3.4,9,"restaurant, food, point_of_interest, establishment",Unknown
HokBen - D'Botanica,"BTC Fashion Mall Lantai FF1 F4 No. 1, Jalan Dr. Djundjunan No.143, Pajajaran",-6.893475500000001,107.5848388,OPERATIONAL,4.3,127,"restaurant, food, point_of_interest, establishment",2
Air Mata Kucing D'Botanica,"Jl. Dr. Djunjunan No.143, BTC Fashion Mall, LT.SB, Pajajaran",-6.8931833,107.5850145,OPERATIONAL,3,5,"store, restaurant, food, point_of_interest, establishment",Unknown
Warung Cepot,Jalan Dr. Djundjunan No.155D,-6.8925834,107.5832217,OPERATIONAL,4.4,1217,"restaurant, food, point_of_interest, establishment",2
Raja Sunda,"Jalan Dr. Djundjunan No.63, Pajajaran",-6.897033700000001,107.5912323,OPERATIONAL,4.4,6201,"restaurant, food, point_of_interest, establishment",2
Ella seblak,"Jalan Doktor Djundjunan Dalam II No.28, Pajajaran",-6.8986559,107.5872976,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
Mpek mpek khas Palembang mamah ari,"Jl.citepus 3 rt02 RW 10, kec:Cicendo",-6.8990816,107.5881542,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
SEBLAK HERAZA,"4H2P+4GQ, Jalan Suparmin, Pajajaran",-6.8996736,107.5863711,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Qameera Foodies,Jalan Citepus III No.41-17,-6.899052399999999,107.5883678,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
