name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung Satro Mantap Sedia: Nasi Soto Ayam Khas Madura,Pakemitan,-6.916422499999999,107.6990699,OPERATIONAL,4.7,28,"restaurant, food, point_of_interest, establishment",Unknown
Bakso solo indah,"3MHV+GJV, Kp pakemitan, RT.01/RW.04, cicurug",-6.9211461,107.6940475,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Q Themang,"3MJV+37J, Unnamed Road, Pakemitan",-6.919799900000001,107.6931453,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Pisang Keju D'Rizki,"3MGV+HCG, Pakemitan",-6.9235555,107.6935874,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Rifa and Rafi,"3MJW+JH7, Pakemitan",-6.9184562,107.6964238,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Baso Cuanki redbull,Jalan Cinambo No.55,-6.924410699999998,107.6925328,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Cuanki BLEK,"Jalan Cinambo No.55, Pakemitan",-6.924410699999998,107.6925328,OPERATIONAL,5,5,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
PEMPEK MANGCEK99,"Jalan Btr III No.9, Pakemitan",-6.9176277,107.6955659,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Resto Khas Sunda Cinambo,"Jalan Rumah Sakit No.82-88, Pakemitan",-6.921148099999999,107.697439,OPERATIONAL,3.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Garut Mang Ako,"Jalan Cinambo, Pakemitan",-6.9245395,107.691663,OPERATIONAL,4.7,98,"restaurant, food, point_of_interest, establishment",Unknown
Saung full house,"samping kantor kecamatan, Jalan Cinambo, Cisaranten Kulon",-6.9246631,107.6917885,OPERATIONAL,1,14,"restaurant, food, point_of_interest, establishment",Unknown
SOTO AYAM MAS TOMMY,Indonesia,-6.920352599999998,107.6978425,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Tze Roots Chicken,"Jalan Btr XII No.1, Pakemitan",-6.9168623,107.6951865,OPERATIONAL,3.7,3,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Batagor BARKAH,"Jalan Cinambo, Pakemitan",-6.924578199999999,107.6912996,OPERATIONAL,4.4,13,"restaurant, food, point_of_interest, establishment",Unknown
