name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
ROTI.GO,"Jalan Cilengkrang II No.4, Palasari",-6.9138392,107.7228756,OPERATIONAL,2.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Ibu Deva,"3PPC+5RJ, Cipadung",-6.9146079,107.7219102,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
WB. Warung Burger,"Jalan Cilengkrang II Gang Amal Bhakti No.27, Palasari",-6.913531799999999,107.721637,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ema Ros,"RT3 RW5, Jalan Cilengkrang II Kp gandol Gg Paraji",-6.915063099999999,107.7220351,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Mie Bakso Sunda Restaurant,"3PPC+7HG, Jalan Cilengkrang II, Palasari",-6.914313699999999,107.7214576,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
warung jajanan...playstation..,"kp gandol rt4 rw5 cilengkrang2, Palasari",-6.9149894,107.7216349,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Nari mentai rice x kokotakan rice,"Komplek Vijayakusuma Blok C8 No.5, RT.001/RW.010, Palasari",-6.915937,107.7225264,OPERATIONAL,4.8,9,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Dapur Ummi Kaka,"Jalan Galumpit No.10, RT.01/RW.05, Cisurupan",-6.9142777,107.7209071,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
hazza yogurt & milk,"Kp gandol RT 01 RW 13 kel, Palasari",-6.9128259,107.7245528,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Fian home,"Kp gandol rt01 rw 05 kel, Palasari",-6.9144704,107.7208597,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Baso pengkolan gandol Roso Solo,"3PPC+39C, Jalan Cilengkrang II, Palasari",-6.9148154,107.7208992,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Korean street food & tomyam,"Jalan Cilengkrang II No.122, Palasari",-6.9146227,107.720767,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Tulang Rusuk Klinik Lapar,"Jalan Cilengkrang II No.112, Palasari",-6.915138499999999,107.720802,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
