name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
CV.Kreasi Pangan Indonesia,"Jalan Pasanggrahan Indah No.9 kav 5, Pasanggrahan",-6.911099099999999,107.7146276,OPERATIONAL,4.2,10,"restaurant, food, point_of_interest, establishment",Unknown
ANGKRINGAN AMIH,Jalan Sekemala,-6.909962099999999,107.7141537,CLOSED_TEMPORARILY,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Bakmie Ayam PPKM,"Jalan Pasanggrahan Indah No.18/1, Pasanggrahan",-6.9106501,107.7148836,OPERATIONAL,Unknown,Unknown,"restaurant, store, food, point_of_interest, establishment",Unknown
Seblak Prasmanan Teh Ica,"3PQ7+XWC, Pasanggrahan",-6.910050399999999,107.714773,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie Pedaskuy!,Jalan Pasanggrahan Indah No.1 Blok 7,-6.911478799999999,107.7149794,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie ayam Bangka allun,"Griya Pratama asri, Jalan Sekemala blok A8, Pasanggrahan",-6.909726599999999,107.7149016,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
KEBAB LOVER 69Komplek griya Pratama Asri jln SEKEMALA ujungberung,"3PR7+7V4, Pasanggrahan",-6.909366700000001,107.7147001,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ruko Subarashii,"3PR7+83G, Jalan Sekemala, Pasanggrahan",-6.909194200000001,107.7126972,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
AYAM JEALOUS,Pasanggrahan,-6.9097002,107.7121972,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pempek aladdin,"Griya Pratama Asri Ujung Berung, Jalan Sekemala blok D5, Pasanggrahan",-6.9092888,107.7151021,OPERATIONAL,4.3,7,"restaurant, food, point_of_interest, establishment",Unknown
Warung Kiky,Indonesia,-6.909298,107.7124464,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dapoer Buya,"Paledang No.6, RT.003/RW.015, Pasanggrahan",-6.9108282,107.7118031,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Masakan Ibu Siti,"3PQ6+JQV, Pasanggrahan",-6.910758700000001,107.7117443,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Mastor,"GOR Pasanggrahan Indah, Jalan Pasanggrahan Indah, Pasanggrahan",-6.9126048,107.7148825,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung nasi liwet,Jalan Maruyung,-6.911848399999998,107.7119825,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Langgar Prasmanan,"Jalan Ciporeat No.144, Pasanggrahan",-6.913032899999998,107.7133888,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
KEDAI BAKSO RASA SUKA,"Jalan Pasanggrahan I No.43, Pasanggrahan",-6.9127585,107.7150515,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Cakue dan Cireng Mang Ujang,"3PR7+HVC, Jalan Sekemala, Pasanggrahan",-6.908556099999999,107.7146439,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
SEBLAK PARASMANAN Sukabumi,"JL Nagrog 3, No. 18, Pasir Jati, Pasanggrahan",-6.909605699999998,107.7116856,OPERATIONAL,2,1,"restaurant, food, point_of_interest, establishment",Unknown
