name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
"Banaking Pisang Nugget & Thai Tea, Cibiru","Jalan Masjid Baru No.30, Pasir Biru",-6.9272823,107.7212152,CLOSED_TEMPORARILY,4.4,157,"restaurant, food, point_of_interest, establishment",Unknown
seblak teh iis cibiru (prasmanan),"Jalan Cikuda desa No.rt 03/11, Pasir Biru",-6.9212207,107.7262573,OPERATIONAL,4.6,19,"restaurant, food, point_of_interest, establishment",Unknown
Seblokin aja,"Jalan Cibiru Tonggoh, Pasir Biru",-6.92022,107.7267679,OPERATIONAL,4.4,5,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Barokah,"3PHG+XM5, Jalan Cibiru Tonggoh, Pasir Biru",-6.9201234,107.726729,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Diary's Kitchen,"Jalan Cibiru Tonggoh No.21, Pasir Biru",-6.9216313,107.7261946,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Sarapan Pagi Lontong, Kupat, Nasi Kuning & Uduk","3PJG+4P8, Pasir Biru",-6.9196815,107.7268178,OPERATIONAL,4.8,5,"restaurant, food, point_of_interest, establishment",Unknown
BATAGOR REYINA,"Kp.jadaria rt1 rw5 gapura, Jalan Cikuda, Pasir Biru",-6.919668,107.7269419,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
Telor Ayam Congkel HitZ and DGB PLAYSTATION,"Jalan Cikuda No.142, Pasir Biru",-6.9196068,107.7249158,OPERATIONAL,4.8,5,"restaurant, food, point_of_interest, establishment",Unknown
Rakus - Raosna Ayam Kukus,"Perumahan SHAFIRA Pasirbiru Residence PB 31, RT.03/RW.08, Pasir Biru",-6.922326099999999,107.7259867,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
seblak prasmanan pertigaan,"3PJG+92C, Jalan Cikuda, Pasir Biru",-6.919057199999999,107.7250049,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
The gold chicken,Jl.sukaluyu rt03/rw12,-6.9190678,107.7248818,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek The Crunch,"Jalan Cikuda RT.05/RW.11, Pasir Biru",-6.9190562,107.7248574,OPERATIONAL,5,12,"restaurant, food, point_of_interest, establishment",Unknown
Baso Pentol kuah teh Lia,"3PJF+3JH, Jalan Cikuda, Pasir Biru",-6.919814499999999,107.7241119,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam Baso Mas Udin,"3PHF+XH9, Jalan Sukaluyu RT.002/RW.011, Pasir Biru",-6.920086599999999,107.7239975,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Pujasera Cikuda,"Jalan Cikuda No.71- 83, Pasir Biru",-6.919408799999998,107.7242929,OPERATIONAL,4.2,34,"restaurant, food, point_of_interest, establishment",Unknown
