name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
D'Besto - Cijambe,"Jalan Cijambe No.40, RT.2/RW.6, Pasir Endah",-6.906448699999999,107.6912096,OPERATIONAL,4.3,257,"restaurant, food, point_of_interest, establishment",1
Bakmi Nyemek,"Jalan AH. Nasution No.15 E, Pasir Endah",-6.9118594,107.6910721,OPERATIONAL,4.3,7,"restaurant, food, point_of_interest, establishment",Unknown
Gorengan Mayang Arum,"3MWR+974, Jalan Simpay Asih, Pasir Endah",-6.904119399999999,107.6907074,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
NgeMiel,"Jalan Kosar Jalan Cijambe No.170, Pasir Endah",-6.904723400000001,107.6907137,OPERATIONAL,4.9,18,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Bakar Madu Juragan Abama,"Jalan Simpay Asih No.2, Pasir Endah",-6.904633700000001,107.6908073,OPERATIONAL,4.9,7,"restaurant, food, point_of_interest, establishment",Unknown
Es Campur Prima Rasa,"Jalan Mayang Hegar No.24, Pasir Endah",-6.903698299999999,107.6900924,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Sederhana Ibu Engkoy,"Jalan Simpay Asih No.9, Pasir Endah",-6.904960200000001,107.6906864,OPERATIONAL,4.6,20,"restaurant, food, point_of_interest, establishment",Unknown
M.J Cafe,"Jl. Kosar No.8' RT/RW ;05/05, Jalan Pasirjati Endah, Pasir Endah",-6.9037971,107.6909286,OPERATIONAL,4.3,161,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Bakar Madu Seduluran,"Jalan Kosar Jalan Simpay Asih RT.05/RW.04, Pasir Endah",-6.903513299999999,107.6907946,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Tulang Ceker Teh Neni,Indonesia,-6.903478299999999,107.6909169,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
King's Juice,"jln.cijambe no 26 ujung berung bandung 40619, Pasir Endah",-6.905372499999999,107.6908471,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Serundeng & Dhafa Thai Tea,"3MVR+R8W, Jalan Kosar Jalan Simpay Asih, Pasir Endah",-6.9053912,107.6908385,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Dapoer Oebar Salatri,"Komp.Simpay Asih , Jl. Mayang Cinde No.30, Desa No.05, RT.004, Pasir Endah",-6.9035951,107.6891572,OPERATIONAL,4.3,11,"restaurant, food, point_of_interest, establishment",Unknown
Mie Baso Sapi Menanti,"Jalan Kosar No.147A, Pasir Endah",-6.903286599999999,107.691005,OPERATIONAL,4.6,152,"restaurant, food, point_of_interest, establishment",Unknown
SEAFOOD BOMBOM CABANG 3,"3MVR+P8M, Jalan Kosar, Pasir Endah",-6.905665,107.6907976,OPERATIONAL,4.8,4,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Goreng Kremes Mangprang Cijambe,Jalan Kosar,-6.9056402,107.6909283,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Bu Atik,Indonesia,-6.9056571,107.6909206,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Kacang Hijau Khas Madura,"Jalan Kosar No.8, Pasir Endah",-6.9056628,107.6909166,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Mas Ragil,"3MVR+P9M, Jalan Kosar, Pasir Endah",-6.9056655,107.6909154,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
