name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Dapur Uni - nasi goreng padang - lontong padang,"Jalan Bumi Pasundan No.151, Pasir Impun",-6.897874099999999,107.6792146,CLOSED_TEMPORARILY,5,2,"restaurant, food, point_of_interest, establishment",Unknown
NGALEBOX,Jalan Bumi Pasundan No.184,-6.8975646,107.6801293,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
R&K,"kondang asih, Jalan Winata RT.06/RW.04",-6.896300999999999,107.6790862,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
"Kedai Ny,Lies Aneka Sarapan Pagi","4M2H+PW6, Pasir Impun",-6.898232700000001,107.6797538,OPERATIONAL,4.3,4,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Wa Centil,"Jalan Bumi Pasundan, Ujung Jembatan, Sindanglaya",-6.8962917,107.6800626,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie Tek Tek AA (anglo),"Jalan Bumi Pasundan, Pasir Impun",-6.898502,107.6788859,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Rons_Ra36,"kontrakan Sela Selly, Jalan Winata No.38A, RT./Rw/RW.06/04",-6.895722099999999,107.679058,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Basreng,"Jalan Bumi Pasundan No.60, Pasir Impun",-6.8989134,107.6789684,CLOSED_TEMPORARILY,2,2,"restaurant, food, point_of_interest, establishment",1
Kedai Segantang Lada,"Komp, Jalan Bumi Pasundan No.62",-6.899077,107.6794666,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Donuts Ciuzz,"Jalan Winata No.88, RT.05/RW.04, Pasir Impun",-6.895432,107.6794483,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Ichiyo,"Jalan Arcamanik No.123 A, RT.01/RW.06, Kp.Pasempar",-6.8981972,107.6812497,OPERATIONAL,Unknown,Unknown,"store, restaurant, food, point_of_interest, establishment",Unknown
Warung Tanjakan,Indonesia,-6.898271200000001,107.6812944,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bakso harmoni,"4M3J+HF4, Jalan Harmoni Sindanglaya, Pasir Impun",-6.896111999999999,107.6812045,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bengkel Perut Q - TA,"Jl. Sindanglaya Gg. Cempaka putih Rt 04 Rw 07 no 114 ( Rumah Cahyadi ) Kel, Pasir Impun",-6.898720300000001,107.6810288,OPERATIONAL,5,7,"restaurant, food, point_of_interest, establishment",Unknown
