name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Eating Sugar Cafe,"Jalan Babakan Batawi No.18, Melatiwangi",-6.897257499999998,107.7045843,OPERATIONAL,4,14,"restaurant, point_of_interest, food, establishment",1
Seblak Nyingkur Mamah Bila,"Jalan Palintang No.27, RT.07/RW.06, Pasirwangi",-6.899842899999999,107.7067985,OPERATIONAL,4.8,22,"restaurant, point_of_interest, food, establishment",Unknown
Warung wayanti,Jalan Kampung Ranca,-6.9004525,107.7066232,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Saung Bale Biru,"Jalan Palintang, Pasirwangi",-6.9003052,107.706944,OPERATIONAL,5,6,"restaurant, point_of_interest, food, establishment",Unknown
Bubur Ayam Spesial Mang Bow,"Dekat, Jalan Palintang No.10, Pasirwangi",-6.899970499999998,107.7073005,OPERATIONAL,5,44,"restaurant, point_of_interest, food, establishment",Unknown
Warung Mang Agan,"Jalan Palintang No.11, Pasirwangi",-6.9006732,107.7060669,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Mie kocok ibu usep,"Jalan Palintang No.26, Pasirwangi",-6.8996152,107.707525,OPERATIONAL,5,6,"restaurant, point_of_interest, food, establishment",Unknown
Kedai Bunda Yasmin,"Gang Bukatanah I No.12, RT.01/RW.07, Pasirwangi",-6.900451500000001,107.705115,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
Todoroki Snacks & Desserts,Pasirwangi,-6.8994225,107.7045663,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Ketoprak sedap malam,"Jalan Cinangka No.rt 03, RT.03/RW.05, Pasirwangi",-6.900209800000001,107.704631,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
pujasera tan kuliner cinangka,"3PX3+WV6, Jalan Cinangka, Pasirwangi",-6.900208099999999,107.7046266,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Warung Seblak Teh Ros,"4P25+858, Jalan Palintang, Pasirwangi",-6.8992086,107.7079588,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Pempek Arka,"Cluster Pesona Regency Blok D No. 12, Pasirwangi",-6.8992944,107.7043959,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Warung Bu Pigur,"Jalan Winaya Agung I No.1, Pasirwangi",-6.901061399999999,107.706869,OPERATIONAL,5,4,"restaurant, point_of_interest, food, establishment",Unknown
Lontong Padang Salero Mande,Komplek Griya Winaya Blok B1/4,-6.9009931,107.7071894,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Baso Mas Toni,"Jalan Winaya Agung I No.1, Pasirwangi",-6.9012802,107.7067255,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
RM Tanjung Lereng,"Jalan Cinangka No.118, Pasirwangi",-6.901154600000001,107.7052895,OPERATIONAL,4.5,2,"restaurant, point_of_interest, food, establishment",Unknown
Tutug Oncom,"4P23+GM9, Jalan Raya Ujung Berung Jalan Cinangka, Pasirwangi",-6.8987017,107.7042396,OPERATIONAL,3.5,6,"restaurant, point_of_interest, food, establishment",Unknown
Rm. Ayah Masakan Padang,Indonesia,-6.901278099999999,107.7070496,OPERATIONAL,4.4,8,"restaurant, point_of_interest, food, establishment",Unknown
Warung Adnan katsu,"Kp sekeburuy RT.4/RW.6, Pasirwangi",-6.899032200000001,107.7082529,OPERATIONAL,5,7,"restaurant, point_of_interest, food, establishment",Unknown
