name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
warung Ayam Krenyet Sambal Ledak,"Griya, Jalan Winaya Raya Jalan Winaya Elok IV No.26 Blok E2, Pasirjati",-6.9012083,107.7099997,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Omah Opah,"Griya Winaya blok B14 No. 1 - 2, Kelurahan RT.003/RW.014, Pasirjati",-6.9021416,107.7087992,OPERATIONAL,4.6,10,"restaurant, food, point_of_interest, establishment",Unknown
Chicken barn,"Jalan Winaya Elok Raya No.20, Pasirjati",-6.901073399999999,107.7106933,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Mayasi Food,"Kavling Ashobirin, Jl Soma Darya Jalan Pasir Jati No.1, RT.03/RW.013",-6.901179099999999,107.7115451,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Add food mie ayam,"3PW5+7H8, Jalan Babakan Teureup, Pasirjati",-6.904336499999999,107.708943,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung umi Shela,"Jalan Babakan Teureup RT.05/RW.10, Pasirjati",-6.9048382,107.7094838,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Belut Sambal Kemangi,"Komplek Griya Winaya Blok F1/4, Pasirjati Kec. Ujung Berung, Kota Bandung, Pasirjati",-6.900289000000001,107.7109923,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Khalita Food,"3PW5+5FV, Pasirjati",-6.9045236,107.7086797,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Pisang Keju Crispy D'Rizki,"3PV6+XPV, Jalan Gending Jati Raya, Pasirjati",-6.9050068,107.7118063,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown
Briliana,"Jalan Koperasi Raya, Pasirjati",-6.8998932,107.7112491,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
