name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Kantin Neng Yeye Surapati Core K-17,"Ruko Surapati Core Blok K No.17, Jalan Khp Hasan Mustopa No.39, Pasirlayung",-6.900353000000001,107.6532624,OPERATIONAL,4.9,16,"restaurant, food, point_of_interest, establishment",Unknown
Toko Core 9,"Jalan Anggrek Boulevard No.9, Pasirlayung",-6.900791900000001,107.6521525,OPERATIONAL,4.9,19,"store, convenience_store, meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Pesta Pizza (Bandung Era Sentra Talenta. PT),"JL. Penghulu Haji Hasan Mustopa No.39, Grand Surapati Core, Graha DFI, 2nd Floor, Pasirlayung",-6.901477999999999,107.652624,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Sederhana Bu Nati,"Jalan Khp Hasan Mustopa No.135, Padasuka",-6.9016647,107.6508867,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedjo Kedai Hedjo,"Jalan Padasuka No.118, Pasirlayung",-6.895154300000001,107.6562203,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie ayam sukabumi,"Sebrang cafe raita, Jalan Padasuka No.128, RT.3/RW.4, Pasirlayung",-6.894547500000001,107.6563653,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam Dilah,"Jalan Sirnagalih No.22, Pasirlayung",-6.895114899999999,107.6570984,OPERATIONAL,4.5,10,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Berkah Djaya,"Jalan Padasuka No.129, Pasirlayung",-6.8948338,107.65599,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Molen Mini Asyik,"Jalan Padasuka No.116, Pasirlayung",-6.895345499999999,107.6560888,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Toko Aldi,"Jalan Padasuka Atas No.131-133, Pasirlayung",-6.8944619,107.6562209,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
"Warung Bagor ""Rajanya Bakar Dan Goreng""","Jalan Padasuka Atas No.131-133, Pasirlayung",-6.8944619,107.6562209,OPERATIONAL,5,16,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Talago Biru,"Jalan Padasuka No.137, Pasirlayung",-6.8944217,107.6562809,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pizza & Burger Ananda,"Jalan Padasuka No.127-129, Pasirlayung",-6.895186499999999,107.6559562,OPERATIONAL,4.7,6,"restaurant, food, point_of_interest, establishment",Unknown
Terasuka,"Jalan Padasuka Komp Kawasaki No.116, Pasirlayung",-6.895374,107.656035,OPERATIONAL,4.1,12,"restaurant, food, point_of_interest, establishment",1
Ayam Geprek SARASA Sirnagalih,"Jalan Sirnagalih No.22, Pasirlayung",-6.895220500000001,107.657194,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Topoci Padasuka - Angkringan Asli Korea,Jalan Padasuka No.125,-6.895115499999998,107.6558945,OPERATIONAL,4.7,12,"restaurant, food, point_of_interest, establishment",Unknown
Demifa,"Jalan Padasuka No.125, Teras Jajanan Yomart Padasuka 2, Pasirlayung",-6.894915999999999,107.6558787,OPERATIONAL,3.8,5,"restaurant, food, point_of_interest, establishment",Unknown
