name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
AYAM KREMESS ALAMANDA,"Jalan Muara Timur I No.8, Pelindung Hewan",-6.9394876,107.6011437,OPERATIONAL,3.9,9,"cafe, meal_takeaway, store, restaurant, food, point_of_interest, establishment",Unknown
Es Cendol Elizabeth Pusat,"Jalan Inhoftank No.64, Pelindung Hewan",-6.943035,107.6029078,OPERATIONAL,4.5,5286,"restaurant, food, point_of_interest, establishment",1
"Nasi Pecel Surabaya ""Kurdi""","Kompleks Kurdi, No 84, Ruko, Pelindung Hewan",-6.943942000000001,107.6044382,OPERATIONAL,4.4,169,"restaurant, food, point_of_interest, establishment",1
"Warcu ""Warung seblak mama cucu""","Jalan Inhoftank No.40, Pelindung Hewan",-6.9400125,107.6031987,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
pisang keju PALEM KURNIA,"Jalan Inhoftank No.34, Pelindung Hewan",-6.939746899999999,107.6032057,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dinasty internet cafe,Jalan Inhoftank No.31b,-6.939663599999998,107.603398,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Ayam Mas Berto,"Gang Inhofftank 2 No.5/96, Pelindung Hewan",-6.939499999999999,107.603192,CLOSED_TEMPORARILY,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Afc Fried Chicken,"Jalan Inhoftank No.26, Pelindung Hewan",-6.939362,107.6031148,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Jus kidding,"Jalan Inhoftank No.24, Pelindung Hewan",-6.9392714,107.6030977,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Tetelan Inhofftank,"Jalan Inhoftank No.Kavling 20, Pelindung Hewan",-6.9401905,107.6038725,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Frozen Food Kavling 16,"Jalan Inhoftank No.Kavling 16, Kel, Pelindung Hewan",-6.9403707,107.603769,OPERATIONAL,5,26,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",Unknown
Wong Potato Bandung,"sebrang, Kompleks Jati Permai, Jalan Inhoftank",-6.940781299999999,107.6031288,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
