name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
WBJ (Warung Bu Djudju),Rancanumpang,-6.9605342,107.7093103,OPERATIONAL,4.9,45,"restaurant, food, point_of_interest, establishment",Unknown
KEDAI BUTIE,"Jalan Zaid Bin Tsabit Timur No.39, Rancanumpang",-6.9596447,107.7090675,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Sate Jando Mang BEM,"Jalan Ali Bin Abi Tholib No.42, Rancanumpang",-6.9592011,107.7100298,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Berkat (Gedebage),"Griya Cempaka Arum,jl.Thariq bin ziyad G2 No.43, Rancanumpang",-6.9591185,107.7098319,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Kuning Bu Elma,"Jl. Zaid bin Tsabit No.31 Bandung Komplek, Jalan Griya Cempaka Arum Blok M6, Rancanumpang",-6.9591702,107.7091676,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown
BAKSO TEH GINA,Indonesia,-6.9591782,107.7107617,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi kuning & Gado2 Bunda Neni,"Jalan Griya Cempaka Arum No.27 blok K4, RT.01/RW.04, Rancanumpang",-6.9611347,107.7085739,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Sate Maranggi Klaten,"Jalan Sor GBLA, Rancanumpang",-6.961955099999999,107.7097743,OPERATIONAL,4.8,5,"restaurant, food, point_of_interest, establishment",Unknown
Makaroni CHICHIPS Cempaka Arum,Jalan Griya Cempaka Arum No.M-13 No. 98,-6.9591372,107.7088073,OPERATIONAL,3.9,69,"restaurant, food, point_of_interest, establishment",Unknown
Alesha Ramyeon,"komplek griya cempaka arum, Jalan Thariq Bin Ziyad No.25 blok G2, Rancanumpang",-6.958601499999999,107.7099068,OPERATIONAL,5,10,"restaurant, food, point_of_interest, establishment",Unknown
PECEL MENDOAN KHAS BANYUMAS,Indonesia,-6.959222999999999,107.7118054,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Sate Sidadadi,"2PR5+F82, Rancanumpang",-6.958868,107.70828,OPERATIONAL,4,4,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Khas Cianjur H Oyung,"2PR6+8QP, Unnamed Road, Rancanumpang",-6.959222100000001,107.7118587,OPERATIONAL,5,11,"restaurant, food, point_of_interest, establishment",Unknown
Leli foods,"Jalan Thariq Bin Ziyad No.13 blok F2, Rancanumpang",-6.9580971,107.7098282,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
WARUNG AMIH,Indonesia,-6.959182999999999,107.7119297,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Masakan Alwiraj,"Jalan Utsman Bin Affan No.79 blok F1, Rancanumpang",-6.9584378,107.7086289,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum Go,"Jalan Griya Cempaka Arum No.2 blok m2, Rancanumpang",-6.9589012,107.7080401,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung Wa Inul,"Jalan Utsman Bin Affan No.64, Rancanumpang",-6.9581708,107.7088711,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
warung ungu teh ajeng,Rancanumpang,-6.9592684,107.712118,OPERATIONAL,5,6,"cafe, restaurant, food, store, point_of_interest, establishment",Unknown
SURGA (Surabi Gaul),"2PR5+G5H, Rancanumpang",-6.958677699999999,107.7079767,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
