name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Rumah Susu Jag-Jag,"4HFH+J85, Jalan Sariasih",-6.8759805,107.5783468,OPERATIONAL,4.8,4,"restaurant, food, point_of_interest, establishment",Unknown
Oseng Mercon Sarijadi,"Jalan Sarimanah No.16, Sarijadi",-6.880495000000001,107.5764511,OPERATIONAL,4.2,879,"restaurant, food, point_of_interest, establishment",1
Sate Padang Pariaman 3 Putri,"samping lotek Bu Upa, Jalan Perintis blok F, Sarijadi",-6.8814137,107.5768159,OPERATIONAL,3.8,16,"restaurant, food, point_of_interest, establishment",Unknown
"Ayam Geprek Asoka, Sarijadi","Jalan Sariasih No.12, Sarijadi",-6.8756014,107.5771327,OPERATIONAL,4.6,141,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Larisya,"4HFG+PX7, Jalan Sariasih, Sarijadi",-6.875720299999999,107.5774078,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Sudi Mampir,"Jalan Sariasih No.45 blok 3, Sarijadi",-6.875794699999999,107.5774168,OPERATIONAL,4.4,14,"restaurant, food, point_of_interest, establishment",1
Warung ikky,"BB Blok 8 No.20, Bumi Harapan",-6.875890099999999,107.5770381,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Seblak Pedas Jaim,"Jalan Sariasih No.143, Sarijadi",-6.875802699999999,107.5774817,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Baso Puskesmas Sarijadi,"4HFG+QWQ, Sarijadi",-6.8755441,107.5773601,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Bubur ayam bip,"Jalan Sariasih No.105, Sarijadi",-6.8757534,107.5775021,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
SURABI ANEKA RASA PA MAMAN,"3,0 km, Jalan Sariasih No.76, Sarijadi",-6.875460399999999,107.5773012,OPERATIONAL,4.2,5,"restaurant, food, point_of_interest, establishment",Unknown
