name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pepes bunita Sukamiskin,"Jalan Tamansari Bukit Bandung No.Blok 10 Blok 10, Sindang Jaya",-6.901039899999999,107.6839304,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Nasi bu Lita Saparua,"Jalan Mahameru III, Sindang Jaya",-6.9015494,107.6842409,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Dapoer-cinnek,"3MXM+CP5, Sindang Jaya",-6.901481,107.684366,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung baso & nasikuning,"3MXM+FWV, Sindang Jaya",-6.901256100000001,107.684807,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
TBB Noodles,"Jalan Tamansari Bukit Bandung No.11 Blok 9, Sindang Jaya",-6.899901899999999,107.6830842,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi tutug Oncom dan Nasi tutug Tempe SUKAASIH,"Jalan Sukaasih Raya Atas No.117B, RT.04/RW.08, Sindang Jaya",-6.901959499999998,107.6851456,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Agan food 29,"Kp cipicung No.11, RT.03/RW.08, manggahang",-6.9025222,107.6832799,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ayam Bakar (W.T.S),"Jalan Sukaasih Raya Atas No.01, pojok, Sindang Jaya",-6.898925500000001,107.6844236,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Mah Iim,"Jalan Moch Syahri No.8, RT.04/RW.02, Sindang Jaya",-6.8997618,107.6820664,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ambu,Sindang Jaya,-6.902909499999999,107.6844933,OPERATIONAL,4.4,5,"restaurant, food, point_of_interest, establishment",Unknown
Warung Jawa,Indonesia,-6.900004999999999,107.6818965,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Sambalmamamarah,"Jalan Sukaasih Atas I No.251, RT.01/RW.6, Sindang Jaya",-6.9003305,107.6859264,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
RM Badana Indah,"JL Sindanglaya, No. 75, Sukamulya, Cinambo, Sindang Jaya",-6.899175199999999,107.6824783,OPERATIONAL,4.6,5,"restaurant, food, point_of_interest, establishment",Unknown
dapoer_fayla,"3MXP+MCP, Jalan Sukaasih Raya, Sindang Jaya",-6.9007767,107.6860923,OPERATIONAL,5,11,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek&Bakar KangHayam,"Jalan Sekepeer Samping Tower No.12, RT.03/RW.05, Sindang Jaya",-6.899119199999999,107.6853445,OPERATIONAL,4.7,14,"restaurant, food, point_of_interest, establishment",Unknown
Vr food,"Kode Pos 40195, Jalan Sukaasih Raya Atas Kp.Sekepeer No.5, RT.05/RW.04, Sindang Jaya",-6.89855,107.6844594,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam bakar madu sindangjaya,"Jalan Tubagus Ismail No. 45B Sekeloa, Jalan Moch Syahri Jalan Sindanglaya No.8a, Sindanglaya",-6.9013884,107.6813838,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
WaroenG Q'ka,"Jalan Moch Syahri No.08, Sindang Jaya",-6.900728600000002,107.6813017,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown
MAMAM SUKI AND GRILL,"Jalan Sukaasih V No.130, Sindang Jaya",-6.9024551,107.6859969,OPERATIONAL,4.4,10,"grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",Unknown
