name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung baso mas budi,"Gang Parasdi No.5, Situsaeur",-6.939184799999999,107.5956239,OPERATIONAL,4.5,52,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek Mas Boy,"Jalan Leuwi Panjang No.10, Situsaeur",-6.942206399999999,107.5962623,OPERATIONAL,4.3,22,"restaurant, food, point_of_interest, establishment",Unknown
NASILIBOET,"Jalan Leuwi Anyar V, Situsaeur",-6.9431851,107.5935842,OPERATIONAL,4.8,31,"restaurant, food, point_of_interest, establishment",Unknown
Dunkin' Donuts Leuwi Panjang,"Jalan Leuwi Panjang No.146, Situsaeur",-6.9452012,107.5953459,OPERATIONAL,4.5,1336,"bakery, store, restaurant, food, point_of_interest, establishment",2
Seblak ma eutik,Situsaeur,-6.9406918,107.5956598,OPERATIONAL,5,7,"restaurant, food, point_of_interest, establishment",Unknown
Batagor mang iyan,Jalan Leuwi Panjang Gang Kebon Kalapa,-6.9401352,107.5958771,OPERATIONAL,4.7,13,"meal_takeaway, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",Unknown
Terminal ayam,"3H6W+27J, Unnamed Road, Situsaeur",-6.939900900000001,107.5956414,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Teh Santi,"3H5W+X9G, Gang Kebon Kalapa, Situsaeur",-6.9400583,107.5959498,OPERATIONAL,3.9,8,"restaurant, food, point_of_interest, establishment",Unknown
"Baso tahu, batagor, mie bah uus","Gang Kebon Kalapa No.16, Situsaeur",-6.9409718,107.5958951,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Warung key,"Jalan Raya Kopo Gang Narpan No.39 kel, RT.02/RW.04, Situsaeur",-6.941072800000001,107.5955126,OPERATIONAL,3.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Purnama,"Kp.kebon kalapa no 84 RT.02/RW.06,Coblong",-6.9400536,107.5962642,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
Warung Rafa Yuna,"Masjid Al Khuriyah, Gang Kebon Kalapa No.Depan, RT.13 RW07",-6.941034499999999,107.5959369,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Mie Bakso Ibu Ugih,"Gang Ibu Ugih No.5, Situsaeur",-6.939889699999997,107.5962623,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Cirambay Seuhah & Cilok Goang Jando Ayam Suwir,"Depan Masjid Al Khuriyah, Gang Kebon Kalapa RT.13 RW07",-6.941078000000001,107.5959455,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
