name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Fora Guest House Taman Lingkar,"Kompleks Taman Lingkar Selatan No.22, Suka Asih",-6.9371638,107.5922848,OPERATIONAL,4.5,663,"lodging, restaurant, food, point_of_interest, establishment",Unknown
Mangkok Ayam,"Jalan Peta No.241, Suka Asih",-6.9297071,107.5869842,CLOSED_TEMPORARILY,4.4,130,"restaurant, food, point_of_interest, establishment",2
Sushi Rock N Rol,"L3 , Festival Citylink , JL. Peta, Suka Asih , 241 , Bojongloa Kaler , 40233 Bandung , Jawa Barat, Suka Asih",-6.929557999999999,107.587097,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Raja Baso Tahu Saboga,"Festival Citylink, Jalan Peta Lt. 3, Suka Asih",-6.929528,107.586958,OPERATIONAL,3.3,7,"restaurant, food, point_of_interest, establishment",Unknown
Harris Cafe,"Mall Festival City Walk, Jalan Peta Lt 3A, Suka Asih",-6.929719,107.586301,OPERATIONAL,4.4,12,"cafe, restaurant, food, point_of_interest, establishment",Unknown
AYAM GORENG FATMAWATI - FESTIVAL CITYLINK,"Mall Festival Citylink Lt.3 No.22, Jalan Peta 241, Suka Asih, Bojongloa Kaler, Suka Asih",-6.929696000000001,107.586243,OPERATIONAL,4.1,9,"meal_takeaway, restaurant, food, point_of_interest, establishment",2
KFC • festLink,"Jalan Peta No.241, Suka Asih",-6.9290755,107.5861555,OPERATIONAL,4.2,463,"restaurant, food, point_of_interest, establishment",2
Fuku-Fuku Bento,"Festival Citylink, Lantai 3 Food Court No. 25, JL Peta, No. 241, Suka Asih",-6.9295108,107.5864177,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dcrepes • festLink,"Jalan Babakan Ciparay No.22, Suka Asih",-6.9293742,107.5862209,OPERATIONAL,4.1,78,"store, restaurant, food, point_of_interest, establishment",Unknown
JOGJABOSS - Kuliner Khas Yogyakarta,"Jalan Peta No.241, Suka Asih",-6.9291537,107.5865817,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
HokBen Citylink,"Festival Citylink Bandung Lt.3 Terrazo Food & Venue No. FC 6, Jalan Peta No.241, Suka Asih",-6.929813200000002,107.5855278,OPERATIONAL,3.9,182,"restaurant, food, point_of_interest, establishment",2
Ta Wan Festival Citylink Bandung,"Lantai GF Festival Citylink.7, Suka Asih",-6.929773399999999,107.5854781,OPERATIONAL,4.5,801,"restaurant, food, point_of_interest, establishment",2
Bakmie Bangka U'TE,"Jalan Sendi Kencana No.10, Suka Asih",-6.933412,107.5892453,OPERATIONAL,4.5,21,"restaurant, food, point_of_interest, establishment",Unknown
