name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Ampera Arcamanik,"Jalan Arcamanik Endah No.38, Sukamiskin",-6.9173473,107.6755938,OPERATIONAL,4.5,2030,"restaurant, food, point_of_interest, establishment",2
Tajil Aren Arcamanik,"Jalan Taekwondo Jalan Arcamanik Endah No.3, Sukamiskin",-6.917837099999999,107.6770283,OPERATIONAL,4.8,8,"store, restaurant, food, point_of_interest, establishment",Unknown
Mih Kocok Mang Dadeng Arcamanik,"Jalan Arcamanik Endah No.103, Sukamiskin",-6.9195144,107.6736374,OPERATIONAL,4.3,531,"cafe, store, restaurant, food, point_of_interest, establishment",1
Kantin arcamanik sport,"3MQG+7H9, Sukamiskin",-6.911834700000001,107.6764823,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi timbel pangestu,"Sport Jabar, Jalan Pacuan Kuda, Sukamiskin",-6.911173399999999,107.6761481,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
ayam geprek AJC arcamanik endah,"depan sorum mobil secon, Jalan Futsal IV Jalan Arcamanik Endah, Sukamiskin",-6.913202199999999,107.6772071,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pempek Ogan Arcamanik,"Jalan Arcamanik Endah No.4, Sukamiskin",-6.913202199999999,107.6772071,OPERATIONAL,4.4,665,"restaurant, food, point_of_interest, establishment",2
Mie Kocok Kebon Jukut,"Jalan Arcamanik Endah No.10, Sukamiskin",-6.9135304,107.677217,OPERATIONAL,4.4,26,"restaurant, food, point_of_interest, establishment",Unknown
RM Cak Farhan Al Barokah,"Jalan Pacuan Kuda No.45, Sukamiskin",-6.909665099999999,107.6749656,OPERATIONAL,3.5,6,"restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam Edol,"Jalan Arcamanik Endah No.17, Sukamiskin",-6.9140423,107.6773273,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
D'Mie Sambal Bakar,"Jalan Pacuan Kuda No.140, Sukamiskin",-6.9097748,107.6753618,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
RM. Cak Farhan,"Jl. Komplek Arcamanik Endah, Kelurahan No.15, Sukamiskin",-6.9136302,107.677458,OPERATIONAL,4.4,46,"restaurant, food, point_of_interest, establishment",Unknown
Rujak Bangkok Premium Arcamanik,"Jalan Arcamanik Endah, Sukamiskin",-6.9144358,107.6772647,OPERATIONAL,4.2,5,"restaurant, food, point_of_interest, establishment",Unknown
ikan bakar ibu Noor,"Jalan Arcamanik Endah No.23, Sukamiskin",-6.9143842,107.6773041,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
WARUNG NASI UDUK CAK FARHAN,"3MRF+5X9, Jalan Pacuan Kuda, Sukamiskin",-6.9095762,107.674984,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Samping Sport Jabar,"3MPH+X26, Sukamiskin",-6.912577300000001,107.6775161,OPERATIONAL,4.8,9,"restaurant, food, point_of_interest, establishment",Unknown
"Ieu Kebab, Arcamanik","Jalan Pacuan Kuda No.15b, Sukamiskin",-6.9093816,107.6741687,CLOSED_TEMPORARILY,4.5,63,"restaurant, food, point_of_interest, establishment",Unknown
Lotek dan Karedok Bunda Alin,"Jalan Pacuan Kuda Raya No.15A, Sukamiskin",-6.9093683,107.6741494,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
