name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Mie Baso Baim,"Jalan Rumah Sakit No.87, Sukamulya",-6.9201307,107.6980022,OPERATIONAL,3.8,4,"restaurant, food, point_of_interest, establishment",Unknown
Fried Rice (Opet at 6-12pm),"Jalan Rumah Sakit No.93, Sukamulya",-6.920342799999999,107.69793,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Wa Tina,Jalan Rumah Sakit No.102,-6.920347700000001,107.6979183,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Lomie ayam dan bakmie cinambo,Jalan Rumah Sakit No.75,-6.919550599999999,107.6981805,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warteg Barokah Pak Agus,"Jalan Rumah Sakit No.75, Sukamulya",-6.919550599999999,107.6981805,OPERATIONAL,4.1,9,"restaurant, food, point_of_interest, establishment",1
Warung Nasi Epul 79,"Jalan Rumah Sakit No.79, Sukamulya",-6.919595,107.698089,OPERATIONAL,4.8,27,"restaurant, food, point_of_interest, establishment",1
Nasi Goreng Bikers,"Jalan Rumah Sakit No.67, Sukamulya",-6.9192136,107.6982975,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Tempong Bu Ayu,"Jalan Rumah Sakit No.67, Pakemitan",-6.919127,107.6983561,OPERATIONAL,4.9,7,"restaurant, food, point_of_interest, establishment",Unknown
Warteg Sederhana Bahari Cinambo,"Jalan Rumah Sakit No.63, Sukamulya",-6.9189625,107.6982963,OPERATIONAL,4.8,6,"restaurant, food, point_of_interest, establishment",Unknown
ayam bakar the sister,"Jalan Rumah Sakit No.61, Sukamulya",-6.9188985,107.6983165,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
RM. Bundo,"3MJX+F96, Jalan Rumah Sakit, Sukamulya",-6.918842000000001,107.698394,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
Bintang Seafood,"Jalan Rumah Sakit No.57, Sukamulya",-6.9186917,107.698445,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
