name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Taichan Bowl,"3M84+WXG, Jalan Taman Raflesia, Sukapura",-6.932682100000002,107.6574486,CLOSED_TEMPORARILY,4.4,26,"restaurant, food, point_of_interest, establishment",2
Double Dipps,"3J4X+RGG, Metro Indah Mall BLok Delima, JL Soekarno Hatta, Sukapura",-6.9429273,107.6488277,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",2
Baso Ikan sinar bahari ( Aa Faqih ),"3M83+7F7, Jalan Cibalagung, Sukapura",-6.934308199999999,107.6537063,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung Baso Teh Oom,"3M83+7J7, Jalan Sukamanah Baru, Sukapura",-6.9343328,107.6540335,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Pecel Pincuk Putri Kediri,Sukapura,-6.933796999999998,107.6539645,OPERATIONAL,4.1,27,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Teh Yanti,"Jalan Cibalagung, Sukapura",-6.934787900000001,107.654237,OPERATIONAL,4.7,6,"restaurant, food, point_of_interest, establishment",Unknown
Warung Jajanan Mamah Alfian-Cidurian Utara,"Jalan Cibalagung No.29, Sukapura",-6.935289000000001,107.6542116,CLOSED_TEMPORARILY,5,3,"restaurant, food, point_of_interest, establishment",Unknown
warung ibu imas,"Jalan Cidurian Utara No.28, Sukapura",-6.9357611,107.6542239,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Sukamanah,"Jalan Cidurian Utara No.1, Sukapura",-6.934582099999999,107.6544481,OPERATIONAL,3.8,17,"restaurant, food, point_of_interest, establishment",Unknown
HOW Bestie,Jalan Komplek KPAD Pindad Timur Jalan Sudali Raya A12 No.K2313,-6.937447799999999,107.6528817,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ena,"Jalan Cidurian Utara No.151, Sukapura",-6.9344739,107.654443,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie Jebew Jebret & Es Teh Priangan Cidurian,"Sukamanah Jalan Cidurian Utara No.153, Sukapura",-6.934317399999999,107.6544633,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Tegal Sederhana,"Jalan Cidurian Utara No.192, Sukapura",-6.935166699999999,107.6545125,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Journey Foodies,"Jalan Cidurian Utara No.153, Sukapura",-6.9342837,107.6544927,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Warung Nasi Tegal ""Adik Kakak""","Jalan Cidurian Utara No.129, Sukapura",-6.9351541,107.6545345,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
Martabak sukarasa,"3M83+2R8, Jalan Cidurian Utara, Sukapura",-6.9349598,107.654573,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung seblak ma isan,"3M73+7H8, Jalan Cidurian Utara, Sukapura",-6.936825499999999,107.6539158,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Dimsum dimshine,"Jalan Cidurian Utara No.208, Sukapura",-6.935692699999999,107.654522,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
