name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Tacris Bandung (Tahu Crispy),"3HFG+WP4, Jalan Cibuntu Tengah, Warung Muncang",-6.9252375,107.5768389,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Sari Rasa Sambel Hejo,"Jalan Soekarno-Hatta No.71, Warung Muncang",-6.925849500000001,107.5755982,OPERATIONAL,4.2,305,"restaurant, food, point_of_interest, establishment",2
Ayam D'Jago,"Jalan Holis Jalan Cibuntu Tengah BLK NO.99, RT01/RW08",-6.924466499999999,107.5773252,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Bakso Ibu Ida,"3HGG+CGP, Unnamed Road, Warung Muncang",-6.923915600000001,107.576339,OPERATIONAL,4.5,4,"restaurant, food, point_of_interest, establishment",Unknown
Seblak bu tini,"Jalan Cibuntu Timur No.15, Warung Muncang",-6.923106,107.5776085,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Baso Tahu Utep,"3HGH+P55, Jalan Cibuntu Timur gang lapang wakaf RT.03 rw05, Warung Muncang",-6.923256000000001,107.5779959,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Bu Pipih,"3HGH+M6R, Warung Muncang",-6.9232513,107.5780006,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Ari's house,"3HGH+F8G, Gang Cibuntu Timur V, Warung Muncang",-6.923824400000001,107.5783369,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Rendos Seuhah,"Jalan Cibuntu Tengah No.No, Warung Muncang",-6.9250024,107.5765483,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ali,Indonesia,-6.9248428,107.5779737,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung lotek ma toto (kuliner dusun),"Jalan Lebe, Warung Muncang",-6.9244485,107.578281,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng SeaFood d`Pengkolan,"Jalan Cibuntu Timur No.63, Warung Muncang",-6.922609199999999,107.5769988,OPERATIONAL,5,16,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Bu/ceu eka,"3HGH+897, Warung Muncang",-6.924208900000001,107.5784281,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Malam Jamika,"3HGH+G89, Gang Cibuntu Timur V, Warung Muncang",-6.923575,107.578413,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
