name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,Kelurahan
Administrative office,"No, Jalan Pasir Salam No.29, Ancol",-6.943530900000001,107.6182619,OPERATIONAL,4,4,"school, point_of_interest, establishment",,Ancol
Paguyuban Asep Dunia DPD Bandung Raya,"Jalan Ancol Timur IX No.1, Ancol",-6.9350172,107.6163377,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",,Ancol
Yayasan Bina Umat Al-Fatah,"3J68+2R6, Jalan Pasirluyu VII, Ancol",-6.9399663,107.6170241,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Ancol
RA/BA/TA Nurul Iman,"Jalan Srisuci No.8A, Ancol",-6.9394836,107.6154778,OPERATIONAL,4.7,9,"school, point_of_interest, establishment",,Ancol
Caravan,Jalan Pasirluyu VIII No.11,-6.940182699999999,107.6180629,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Ancol
Ra Al Hidayah,"Jalan Pasir Salam III No.7, Ancol",-6.942963,107.617053,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Ancol
PicuPacu Kreativitas! Indonesia,"Jalan Yogyakarta No.1A, Antapani Kidul",-6.921474000000001,107.660051,OPERATIONAL,5,41,"school, point_of_interest, establishment",,Antapani Kidul
Junior High School 45,"Jalan Yogyakarta No.9, Antapani Kidul",-6.921808500000001,107.6599367,OPERATIONAL,4.4,116,"school, point_of_interest, establishment",,Antapani Kidul
SD Asy-Syifa 2 Bandung,"Jalan Randusari V No.28-29, Antapani Kidul",-6.925529999999999,107.660254,OPERATIONAL,5,285,"primary_school, school, point_of_interest, establishment",,Antapani Kidul
SD El Fitra,"Jalan Cibodas Raya No.49, Antapani Kidul",-6.9248308,107.664981,OPERATIONAL,4.7,130,"primary_school, school, point_of_interest, establishment",,Antapani Kidul
SDN 267 GRIYA BUMI ANTAPANI,"Jalan Kadipaten 14 No.2, Antapani Kidul",-6.919437400000001,107.6557465,OPERATIONAL,4.3,22,"primary_school, school, point_of_interest, establishment",,Antapani Kidul
SD Muhammadiyah 7 Bandung,"Jalan Kadipaten Raya No.4-6, Antapani Kidul",-6.917711499999999,107.6550969,OPERATIONAL,4.6,112,"primary_school, school, point_of_interest, establishment",,Antapani Kidul
Muhammadiyah junior high school 8 Bandung,"Jalan Kadipaten Raya No.4-6, Antapani Kidul",-6.917449699999999,107.6551852,OPERATIONAL,4.6,47,"school, point_of_interest, establishment",,Antapani Kidul
SDN 255 Griya Bumi Antapani,"Jalan Cicalengka Raya No.1, Antapani Kidul",-6.919633300000001,107.6580184,OPERATIONAL,4.5,37,"primary_school, school, point_of_interest, establishment",,Antapani Kidul
Taman Kanan-kanak Qur'an (TKQ) Baitul Mumin,"Jalan Purwokerto No.2, Antapani Kidul",-6.922745299999999,107.6587101,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Kidul
Oneka Land,"Jalan Semarang No.11A, Antapani Kidul",-6.9223003,107.6588541,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Kidul
Vertical Rescue Indonesia,"Jalan Kudus No.29, Antapani Kidul",-6.923039500000001,107.6583858,OPERATIONAL,5,17,"school, point_of_interest, establishment",,Antapani Kidul
Masjid Al Muhajirin,"Jalan Sari Wates Timur II No.1C, Antapani Kidul",-6.924079699999999,107.6585192,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Antapani Kidul
Ativa Daycare & Preschool,"Jalan Karang Asem No.2, Antapani Kidul",-6.923165399999999,107.6618334,OPERATIONAL,5,6,"school, point_of_interest, establishment",,Antapani Kidul
Ronaldo Agustinus bisai,Jalan Banjarmasin,-6.923213299999999,107.6618756,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Kidul
TK Perjuangan Wahidiyah,"3MG6+WQ2, Jalan Trenggalek, Antapani Kidul",-6.922731400000001,107.6618751,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Kidul
SMP Negeri 49 Bandung,"Jalan Antapani Lama No.58, Antapani Kulon",-6.9075899,107.6580657,OPERATIONAL,4.3,93,"school, point_of_interest, establishment",,Antapani Kulon
Kelurahan Antapani Kulon,"Jalan Antapani Lama No.1, Antapani Kulon",-6.9102092,107.6578517,OPERATIONAL,4.8,5,"school, university, point_of_interest, establishment",,Antapani Kulon
MDTA/TKA Plus/TAAM- Ant-Naml,Antapani Kulon,-6.9102427,107.6572394,OPERATIONAL,5.0,1,"school, point_of_interest, establishment",,Antapani Kulon
KB. Tarum Sari,"Gang Tarumasari RT.01/RW.05, Antapani Kulon",-6.909057799999999,107.6567436,OPERATIONAL,5.0,1,"school, point_of_interest, establishment",,Antapani Kulon
Madrasah Diniyah Al - Ikhlas,"JL Antapani Tarumasari, RT. 04 RW. 05 No. 112, Antapani Kulon, Antapani, Antapani Kulon",-6.909758999999999,107.6575702,OPERATIONAL,5.0,2,"school, point_of_interest, establishment",,Antapani Kulon
Febri,"3MQ5+V3V, Jalan Antapani Lama, Antapani Kulon",-6.9102198,107.6576603,OPERATIONAL,5.0,1,"school, point_of_interest, establishment",,Antapani Kulon
Bimbel SD17,"Jalan Sindang Barang No.17, Antapani Kulon",-6.910506699999999,107.6550139,OPERATIONAL,5.0,3,"school, point_of_interest, establishment",,Antapani Kulon
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 3,"Jalan Antapani Lama No.32, Antapani Kulon",-6.909574999999999,107.6577275,OPERATIONAL,4.9,37,"school, point_of_interest, establishment",,Antapani Kulon
MTsN 2 Kota Bandung,"Jalan Antapani Lama No.78, Antapani Kulon",-6.910048,107.6578677,OPERATIONAL,4.5,135,"school, point_of_interest, establishment",,Antapani Kulon
SDN 209 Antapani,"Jalan Antapani Lama No.1, Antapani Kulon",-6.910351299999999,107.6579522,OPERATIONAL,5.0,1,"primary_school, school, point_of_interest, establishment",,Antapani Kulon
TK Aisyiyah,"3MR5+C2P, Antapani Kulon",-6.908907800000001,107.6575894,OPERATIONAL,4.3,3,"school, point_of_interest, establishment",,Antapani Kulon
TK Generasi Unggul Antapani,"Jalan Cikajang Raya No.60, Antapani Tengah",-6.9192378,107.6657953,OPERATIONAL,5,21,"point_of_interest, school, establishment",,Antapani Tengah
Prime Smart Islamic Montessori,"Jalan Kuningan Raya No.7, Antapani Tengah",-6.914617399999998,107.6603472,OPERATIONAL,4.5,6,"point_of_interest, school, establishment",,Antapani Tengah
Mutiara Hati Islamic School,"3MH8+PJX, Jalan Terusan Jakarta Jalan Cikajang Raya RT.04/RW.22, Antapani Tengah",-6.9205288,107.6665957,OPERATIONAL,4.5,47,"point_of_interest, school, establishment",,Antapani Tengah
Sekolah Lare Alit,"Jalan Terusan Jakarta No.214, Antapani Tengah",-6.914473899999999,107.6629752,OPERATIONAL,4.9,22,"point_of_interest, school, establishment",,Antapani Tengah
TK Anak Ceria Antapani,"Jalan Puri Dago Mas Utara 1 No.Raya No.1, Antapani Tengah",-6.9231469,107.665285,OPERATIONAL,5,26,"point_of_interest, school, establishment",,Antapani Tengah
Bandung Robotic School,"Mall Lucky Square Lantai Dasar A3 No. 5, JL Terusan Jakarta, No. 2, Antapani Tengah",-6.9129135,107.6573751,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Antapani Tengah
TK & PG Kids Alifa Antapani,"Jalan Subang No.53, Antapani Tengah",-6.915271299999998,107.6548649,OPERATIONAL,4.8,51,"point_of_interest, school, establishment",,Antapani Tengah
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 1,"Jalan Kuningan Raya No.107, Antapani Tengah",-6.919126299999999,107.6631753,OPERATIONAL,5,8,"school, point_of_interest, establishment",,Antapani Tengah
PAUD Tunas Harapan,"Jalan Cikajang XVII No.2, Antapani Tengah",-6.919296900000001,107.6635463,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",,Antapani Tengah
Rumah Main Senusa,"Jalan Cikajang XV No.5, Antapani Tengah",-6.918072799999999,107.6633723,OPERATIONAL,5,3,"point_of_interest, school, establishment",,Antapani Tengah
Senior High School 23 Bandung,"Jalan Malangbong, Antapani Wetan",-6.9127478,107.6648985,OPERATIONAL,4.4,158,"school, point_of_interest, establishment",,Antapani Wetan
Growing Tree Daycare & Preschool,"Jawa Ba, Jalan Bumi Mas Kencana III No.2, Antapani Wetan",-6.904957,107.663576,OPERATIONAL,4.8,46,"school, health, point_of_interest, establishment",,Antapani Wetan
TAMAN BACA NURUL BAYTI,"Jalan Sindang Sari III No.4, RT.03/RW.09, Antapani Wetan",-6.910173699999999,107.6637375,OPERATIONAL,5,7,"school, point_of_interest, establishment",,Antapani Wetan
Taman Kanan-kanak Qur'an (TKQ) Riyadul Muttaqien,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.910248,107.6642426,OPERATIONAL,4,1,"school, point_of_interest, establishment",,Antapani Wetan
TKQ-TPQ-MDTA RIYADLUL MUTTAQIN,"Jalan Sindang Sari III Gang Mesjid 3 No.5A, RT.03/RW.09, Antapani Wetan",-6.910164300000001,107.6635356,OPERATIONAL,5,49,"school, point_of_interest, establishment",,Antapani Wetan
"Lucu deh klo kita fotbar, yuk","Gang Melati 1 No.64, Antapani Wetan",-6.908585500000001,107.6651238,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Wetan
School SMP PGRI 8,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.9081843,107.6647958,OPERATIONAL,3.9,8,"school, point_of_interest, establishment",,Antapani Wetan
Pos PAUD Intansari,"3MR7+RF6, Jalan Sindang Sari III, Antapani Wetan",-6.907964499999999,107.6636545,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Wetan
cape yaa? SEMANGAT!,"Jalan Sindangsari II Indah No.63, Antapani Wetan",-6.907820699999998,107.6639315,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Antapani Wetan
Pondok Pesantren Muslimin,"Jalan Sindang Sari II No.35, Antapani Wetan",-6.9074065,107.6634776,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",,Antapani Wetan
SDN 078 Sindangsari Antapani,"Jalan Sindang Sari I No.1, Antapani Wetan",-6.9061149,107.6645762,OPERATIONAL,4.9,15,"primary_school, school, point_of_interest, establishment",,Antapani Wetan
Sekolah Dasar Industri,"Jalan Industri Jalan Industri Dalam No.2, Arjuna",-6.9127283,107.5948052,OPERATIONAL,4.5,6,"primary_school, point_of_interest, school, establishment",,Arjuna
Bina Bakti Christian Middle School 2,"Jalan Bima No.1, Arjuna",-6.9121609,107.5954822,OPERATIONAL,4.8,52,"point_of_interest, school, establishment",,Arjuna
Sekolah Mode Linna Lea,"Jalan Semar No.32, Arjuna",-6.9081343,107.5971071,OPERATIONAL,4.0,6,"school, point_of_interest, establishment",,Arjuna
SMP Negeri 9 Bandung,"Jalan Semar No.5, Arjuna",-6.9089943,107.5969819,OPERATIONAL,4.3,136,"point_of_interest, school, establishment",,Arjuna
MI Al-Ishlah Kota Bandung,"Jl. KH Wahid Hasyim No. 224/198-A, Babakan Asih, Bojongloa Kaler, Babakan Asih",-6.9342728,107.5956323,OPERATIONAL,4.8,49,"primary_school, point_of_interest, school, establishment",,Babakan Asih
Sukaleueur 5,"3H9V+4RQ, Unnamed Road, Babakan Asih",-6.9321602,107.5946021,OPERATIONAL,5,6,"school, point_of_interest, establishment",,Babakan Asih
SD AL - FATAH,"Jalan Sukaleueur, Babakan Asih",-6.931921500000001,107.5947852,OPERATIONAL,4.4,9,"primary_school, point_of_interest, school, establishment",,Babakan Asih
PG DAN TK ISLAMIYAH,"3H9W+558, Babakan Asih",-6.932097,107.5954564,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Asih
Bimbel Islamiyah Learning Center,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Asih
SD Al-Qur'an Islamiyah,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,5,7,"point_of_interest, school, establishment",,Babakan Asih
KOBER ASY-SYIFA,"Jalan Raya Kopo Jalan Sukaleueur No.124/198A, RT.003/RW.007, Babakan Asih",-6.931649800000001,107.5950603,OPERATIONAL,5,1,"point_of_interest, school, establishment",,Babakan Asih
RA PERSIS I,"Jalan Raya Kopo Gang H. Saidin No.482 198A, Babakan Asih",-6.933140099999999,107.59525,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Asih
Madrasah Al Ittihad,"3H9V+8JR, Jalan Sukaleueur, Babakan Asih",-6.931630699999999,107.5940289,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Asih
Bumi Mak Euis,"Gang H. Saidin No.202 198 a, Babakan Asih",-6.9336688,107.5950896,OPERATIONAL,5,7,"point_of_interest, school, establishment",,Babakan Asih
DTA Ath-Thahiry,"Jalan Raya Kopo No.177, Babakan Asih",-6.933731199999999,107.5956101,OPERATIONAL,5,2,"point_of_interest, school, establishment",,Babakan Asih
""" S A U N G ""","Gang Maramis 1 No.61 198a, Babakan Asih",-6.9311933,107.5958733,OPERATIONAL,5,1,"point_of_interest, school, establishment",,Babakan Asih
TK Islam ISLAMIYAH,"Jl. Sukaleueur III No.100/198A, Babakan Asih",-6.932382,107.5964501,OPERATIONAL,5,5,"school, point_of_interest, establishment",,Babakan Asih
MI Bahrul Ihsan,"196A, Jalan Babakan Tarogong No.477, Babakan Asih",-6.9334438,107.5933777,OPERATIONAL,4,5,"primary_school, point_of_interest, school, establishment",,Babakan Asih
Yayasan Tadika Puri,"JL. Sanggar Kencana 6 No. 11, Perum Sanggar Hurip, Babakan Ciamis",-6.9148644,107.6082421,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciamis
Vocational High School 1 Bandung,"Jalan Wastukencana No.3, Babakan Ciamis",-6.913156399999999,107.6088987,OPERATIONAL,4.8,564,"school, point_of_interest, establishment",,Babakan Ciamis
Pelatihan Pendidikan Pramugari - Garuda Sejahtera Mandiri,"Gedung A2B, Jalan Merdeka No.33, Babakan Ciamis",-6.908499000000001,107.6104496,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Ciamis
Madrasah Ash-Shaff,"Jalan Babakan Ciamis No.205 5-B, Babakan Ciamis",-6.908249,107.606921,OPERATIONAL,5,8,"school, point_of_interest, establishment",,Babakan Ciamis
SLB Negeri Cicendo Kota Bandung,"Jalan Cicendo No.2, Babakan Ciamis",-6.9109705,107.6043748,OPERATIONAL,4.3,27,"school, point_of_interest, establishment",,Babakan Ciamis
GANESHA OPERATION UNIT PW36,Jalan Purnawarman No.36 B,-6.907565399999999,107.6095412,OPERATIONAL,4.7,480,"school, point_of_interest, establishment",,Babakan Ciamis
PAUD PERMATA CENDIKIA,"Jalan Babakan Ciamis No.57 b, Babakan Ciamis",-6.911171999999999,107.6067358,OPERATIONAL,5,3,"school, point_of_interest, establishment",,Babakan Ciamis
Sequoia School - SD Nasional Plus,"Dekat Balai Kota, Jalan Aceh No.6, Babakan Ciamis",-6.910456000000002,107.6061871,OPERATIONAL,4.7,48,"primary_school, school, point_of_interest, establishment",,Babakan Ciamis
Santa Angela Bandung,"Jl. Merdeka No.24, Babakan Ciamis, Kec. Sumur Bandung, Jawa",-6.9127256,107.6108886,OPERATIONAL,4.5,210,"school, point_of_interest, establishment",,Babakan Ciamis
TKA /TPA Baitusy Syuhada,"Jalan Caringin No.126, Babakan Ciparay",-6.9449652,107.5820498,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Ciparay
Rumah Musik Zee,"Perum Sumber Sari Indah, Jalan Sumber Mukti No.22-11, Babakan Ciparay",-6.937406800000001,107.5735554,OPERATIONAL,4.7,23,"school, store, point_of_interest, establishment",,Babakan Ciparay
PAUD EL ZAARA,"Jalan Caringin Gang Lumbung 4 No.88, Babakan Ciparay",-6.942319499999999,107.5801452,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
Yt Chanel Musik & Otomotif,"Jalan Caringin Gang Cikungkurak No.40, Babakan Ciparay",-6.9426303,107.5794449,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
