name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PicuPacu Kreativitas! Indonesia,"Jalan Yogyakarta No.1A, Antapani Kidul",-6.921474000000001,107.660051,OPERATIONAL,5,41,"school, point_of_interest, establishment",
Junior High School 45,"Jalan Yogyakarta No.9, Antapani Kidul",-6.921808500000001,107.6599367,OPERATIONAL,4.4,116,"school, point_of_interest, establishment",
SD Asy-Syifa 2 Bandung,"Jalan Randusari V No.28-29, Antapani Kidul",-6.925529999999999,107.660254,OPERATIONAL,5,285,"primary_school, school, point_of_interest, establishment",
SD El Fitra,"Jalan Cibodas Raya No.49, Antapani Kidul",-6.9248308,107.664981,OPERATIONAL,4.7,130,"primary_school, school, point_of_interest, establishment",
SDN 267 GRIYA BUMI ANTAPANI,"Jalan Kadipaten 14 No.2, Antapani Kidul",-6.919437400000001,107.6557465,OPERATIONAL,4.3,22,"primary_school, school, point_of_interest, establishment",
SD Muhammadiyah 7 Bandung,"Jalan Kadipaten Raya No.4-6, Antapani Kidul",-6.917711499999999,107.6550969,OPERATIONAL,4.6,112,"primary_school, school, point_of_interest, establishment",
Muhammadiyah junior high school 8 Bandung,"Jalan Kadipaten Raya No.4-6, Antapani Kidul",-6.917449699999999,107.6551852,OPERATIONAL,4.6,47,"school, point_of_interest, establishment",
SDN 255 Griya Bumi Antapani,"Jalan Cicalengka Raya No.1, Antapani Kidul",-6.919633300000001,107.6580184,OPERATIONAL,4.5,37,"primary_school, school, point_of_interest, establishment",
Taman Kanan-kanak Qur'an (TKQ) Baitul Mumin,"Jalan Purwokerto No.2, Antapani Kidul",-6.922745299999999,107.6587101,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Oneka Land,"Jalan Semarang No.11A, Antapani Kidul",-6.9223003,107.6588541,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Vertical Rescue Indonesia,"Jalan Kudus No.29, Antapani Kidul",-6.923039500000001,107.6583858,OPERATIONAL,5,17,"school, point_of_interest, establishment",
Masjid Al Muhajirin,"Jalan Sari Wates Timur II No.1C, Antapani Kidul",-6.924079699999999,107.6585192,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Ativa Daycare & Preschool,"Jalan Karang Asem No.2, Antapani Kidul",-6.923165399999999,107.6618334,OPERATIONAL,5,6,"school, point_of_interest, establishment",
Ronaldo Agustinus bisai,Jalan Banjarmasin,-6.923213299999999,107.6618756,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Perjuangan Wahidiyah,"3MG6+WQ2, Jalan Trenggalek, Antapani Kidul",-6.922731400000001,107.6618751,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
