name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMP Negeri 49 Bandung,"Jalan Antapani Lama No.58, Antapani Kulon",-6.9075899,107.6580657,OPERATIONAL,4.3,93,"school, point_of_interest, establishment",
Kelurahan Antapani Kulon,"Jalan Antapani Lama No.1, Antapani Kulon",-6.9102092,107.6578517,OPERATIONAL,4.8,5,"school, university, point_of_interest, establishment",
MDTA/TKA Plus/TAAM- Ant-Naml,Antapani Kulon,-6.9102427,107.6572394,OPERATIONAL,5,1,"school, point_of_interest, establishment",
KB. Tarum Sari,"Gang Tarumasari RT.01/RW.05, Antapani Kulon",-6.909057799999999,107.6567436,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Madrasah Diniyah Al - Ikhlas,"JL Antapani Tarumasari, RT. 04 RW. 05 No. 112, Antapani Kulon, Antapani, Antapani Kulon",-6.909758999999999,107.6575702,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Febri,"3MQ5+V3V, Jalan Antapani Lama, Antapani Kulon",-6.9102198,107.6576603,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Bimbel SD17,"Jalan Sindang Barang No.17, Antapani Kulon",-6.910506699999999,107.6550139,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 3,"Jalan Antapani Lama No.32, Antapani Kulon",-6.909574999999999,107.6577275,OPERATIONAL,4.9,37,"school, point_of_interest, establishment",
MTsN 2 Kota Bandung,"Jalan Antapani Lama No.78, Antapani Kulon",-6.910048,107.6578677,OPERATIONAL,4.5,135,"school, point_of_interest, establishment",
SDN 209 Antapani,"Jalan Antapani Lama No.1, Antapani Kulon",-6.910351299999999,107.6579522,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
TK Aisyiyah,"3MR5+C2P, Antapani Kulon",-6.908907800000001,107.6575894,OPERATIONAL,4.3,3,"school, point_of_interest, establishment",
