name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK Generasi Unggul Antapani,"Jalan Cikajang Raya No.60, Antapani Tengah",-6.9192378,107.6657953,OPERATIONAL,5,21,"point_of_interest, school, establishment",
Prime Smart Islamic Montessori,"Jalan Kuningan Raya No.7, Antapani Tengah",-6.914617399999998,107.6603472,OPERATIONAL,4.5,6,"point_of_interest, school, establishment",
Mutiara Hati Islamic School,"3MH8+PJX, Jalan Terusan Jakarta Jalan Cikajang Raya RT.04/RW.22, Antapani Tengah",-6.9205288,107.6665957,OPERATIONAL,4.5,47,"point_of_interest, school, establishment",
Sekolah Lare Alit,"Jalan Terusan Jakarta No.214, Antapani Tengah",-6.914473899999999,107.6629752,OPERATIONAL,4.9,22,"point_of_interest, school, establishment",
TK Anak Ceria Antapani,"Jalan Puri Dago Mas Utara 1 No.Raya No.1, Antapani Tengah",-6.9231469,107.665285,OPERATIONAL,5,26,"point_of_interest, school, establishment",
Bandung Robotic School,"Mall Lucky Square Lantai Dasar A3 No. 5, JL Terusan Jakarta, No. 2, Antapani Tengah",-6.9129135,107.6573751,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TK & PG Kids Alifa Antapani,"Jalan Subang No.53, Antapani Tengah",-6.915271299999998,107.6548649,OPERATIONAL,4.8,51,"point_of_interest, school, establishment",
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 1,"Jalan Kuningan Raya No.107, Antapani Tengah",-6.919126299999999,107.6631753,OPERATIONAL,5,8,"school, point_of_interest, establishment",
PAUD Tunas Harapan,"Jalan Cikajang XVII No.2, Antapani Tengah",-6.919296900000001,107.6635463,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Rumah Main Senusa,"Jalan Cikajang XV No.5, Antapani Tengah",-6.918072799999999,107.6633723,OPERATIONAL,5,3,"point_of_interest, school, establishment",
