name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Senior High School 23 Bandung,"Jalan Malangbong, Antapani Wetan",-6.9127478,107.6648985,OPERATIONAL,4.4,158,"school, point_of_interest, establishment",
Growing Tree Daycare & Preschool,"Jawa Ba, Jalan Bumi Mas Kencana III No.2, Antapani Wetan",-6.904957,107.663576,OPERATIONAL,4.8,46,"school, health, point_of_interest, establishment",
TAMAN BACA NURUL BAYTI,"Jalan Sindang Sari III No.4, RT.03/RW.09, Antapani Wetan",-6.910173699999999,107.6637375,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Taman Kanan-kanak Qur'an (TKQ) Riyadul Muttaqien,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.910248,107.6642426,OPERATIONAL,4,1,"school, point_of_interest, establishment",
TKQ-TPQ-MDTA RIYADLUL MUTTAQIN,"Jalan Sindang Sari III Gang Mesjid 3 No.5A, RT.03/RW.09, Antapani Wetan",-6.910164300000001,107.6635356,OPERATIONAL,5,49,"school, point_of_interest, establishment",
"Lucu deh klo kita fotbar, yuk","Gang Melati 1 No.64, Antapani Wetan",-6.908585500000001,107.6651238,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
School SMP PGRI 8,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.9081843,107.6647958,OPERATIONAL,3.9,8,"school, point_of_interest, establishment",
Pos PAUD Intansari,"3MR7+RF6, Jalan Sindang Sari III, Antapani Wetan",-6.907964499999999,107.6636545,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
cape yaa? SEMANGAT!,"Jalan Sindangsari II Indah No.63, Antapani Wetan",-6.907820699999998,107.6639315,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Pondok Pesantren Muslimin,"Jalan Sindang Sari II No.35, Antapani Wetan",-6.9074065,107.6634776,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
SDN 078 Sindangsari Antapani,"Jalan Sindang Sari I No.1, Antapani Wetan",-6.9061149,107.6645762,OPERATIONAL,4.9,15,"primary_school, school, point_of_interest, establishment",
