name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
MI Al-Ishlah Kota Bandung,"Jl. KH Wahid Hasyim No. 224/198-A, Babakan Asih, Bojongloa Kaler, Babakan Asih",-6.9342728,107.5956323,OPERATIONAL,4.8,49,"primary_school, point_of_interest, school, establishment",
Sukaleueur 5,"3H9V+4RQ, Unnamed Road, Babakan Asih",-6.9321602,107.5946021,OPERATIONAL,5,6,"school, point_of_interest, establishment",
SD AL - FATAH,"Jalan Sukaleueur, Babakan Asih",-6.931921500000001,107.5947852,OPERATIONAL,4.4,9,"primary_school, point_of_interest, school, establishment",
PG DAN TK ISLAMIYAH,"3H9W+558, Babakan Asih",-6.932097,107.5954564,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Bimbel Islamiyah Learning Center,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD Al-Qur'an Islamiyah,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,5,7,"point_of_interest, school, establishment",
KOBER ASY-SYIFA,"Jalan Raya Kopo Jalan Sukaleueur No.124/198A, RT.003/RW.007, Babakan Asih",-6.931649800000001,107.5950603,OPERATIONAL,5,1,"point_of_interest, school, establishment",
RA PERSIS I,"Jalan Raya Kopo Gang H. Saidin No.482 198A, Babakan Asih",-6.933140099999999,107.59525,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Madrasah Al Ittihad,"3H9V+8JR, Jalan Sukaleueur, Babakan Asih",-6.931630699999999,107.5940289,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Bumi Mak Euis,"Gang H. Saidin No.202 198 a, Babakan Asih",-6.9336688,107.5950896,OPERATIONAL,5,7,"point_of_interest, school, establishment",
DTA Ath-Thahiry,"Jalan Raya Kopo No.177, Babakan Asih",-6.933731199999999,107.5956101,OPERATIONAL,5,2,"point_of_interest, school, establishment",
""" S A U N G ""","Gang Maramis 1 No.61 198a, Babakan Asih",-6.9311933,107.5958733,OPERATIONAL,5,1,"point_of_interest, school, establishment",
TK Islam ISLAMIYAH,"Jl. Sukaleueur III No.100/198A, Babakan Asih",-6.932382,107.5964501,OPERATIONAL,5,5,"school, point_of_interest, establishment",
MI Bahrul Ihsan,"196A, Jalan Babakan Tarogong No.477, Babakan Asih",-6.9334438,107.5933777,OPERATIONAL,4,5,"primary_school, point_of_interest, school, establishment",
