name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TKA /TPA Baitusy Syuhada,"Jalan Caringin No.126, Babakan Ciparay",-6.9449652,107.5820498,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Rumah Musik Zee,"Perum Sumber Sari Indah, Jalan Sumber Mukti No.22-11, Babakan Ciparay",-6.937406800000001,107.5735554,OPERATIONAL,4.7,23,"school, store, point_of_interest, establishment",
PAUD EL ZAARA,"Jalan Caringin Gang Lumbung 4 No.88, Babakan Ciparay",-6.942319499999999,107.5801452,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Yt Chanel Musik & Otomotif,"Jalan Caringin Gang Cikungkurak No.40, Babakan Ciparay",-6.9426303,107.5794449,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
DTA NURUL HUDA,"3H4J+V28, Jalan Caringin Gang Lumbung 4",-6.9428277,107.5800763,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Rumah Ibu Nina,"Jalan Soekarno - Hatta Gang Assalam No.26, Babakan Ciparay",-6.939707499999999,107.578583,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
Rumah Cerdas Sunshine 99 (RCS99),"Jalan Soekarno - Hatta Gang Elos Barat RT 04/05, Babakan Ciparay",-6.939661900000001,107.5786085,OPERATIONAL,5,4,"school, point_of_interest, establishment",
PKBM RESIDIVIST,"Jalan Caringin Gang Cikungkurak No.54, Babakan Ciparay",-6.9431121,107.5802554,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Madrasah MQ LABAZ,"3H6H+638, Jalan Soekarno - Hatta Gang Assalam, Babakan Ciparay",-6.939464599999999,107.5777119,OPERATIONAL,5,2,"school, point_of_interest, establishment",
R.A Al-Hidayah,"No.96, R.A Al- Hidayah, Jalan Caringin Gang Cikungkurak, Babakan Ciparay",-6.941603199999999,107.5768918,CLOSED_TEMPORARILY,5,11,"school, point_of_interest, establishment",
RA/BA/TA Al Hidayah,"Jalan Caringin No.185, Babakan Ciparay",-6.9440651,107.5788263,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
State Primary School Babakan Ciparay 1,"Jalan Caringin No.150, Babakan Ciparay",-6.944254699999999,107.5803513,OPERATIONAL,4.3,29,"primary_school, school, point_of_interest, establishment",
KB Insan Shahaza,"3H5G+3MG, Gang Cikungkurak",-6.9423205,107.5767028,OPERATIONAL,3.5,2,"school, point_of_interest, establishment",
SDN 213 Babakan Ciparay,"Jalan Sumber Endah No.74, Babakan Ciparay",-6.9402097,107.57647,OPERATIONAL,4.2,26,"primary_school, school, point_of_interest, establishment",
RA/BA/TA Al Amanah,"Jalan Caringin No.173, Babakan Ciparay",-6.9444722,107.5793845,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA/BA/TA Al Wakaf,"Jalan Caringin No.141a, Babakan Ciparay",-6.944666899999999,107.580773,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK & PAUD Holis Permai,"Jl. Caringin, Babakan Ciparay, Blok Beas RT08 RW06, Babakan Ciparay",-6.9400979,107.576104,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
Menjaga Kebersihan Di Lingkungan Sekolah,"Jalan Soekarno-Hatta No.203, Babakan Ciparay",-6.9420578,107.583577,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
