name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SDN Cisaranten Wetan 2,"Jalan Gedebage Selatan No.16, Babakan Penghulu",-6.941075799999999,107.6916077,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
TK Plus Aisyahmudin,"Jalan Rancameong, Babakan Penghulu",-6.9392617,107.6891951,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TK Asy Syifa,"Jalan Rancameong No.Kel, RT.02/RW.05, Babakan Penghulu",-6.9398381,107.6900894,OPERATIONAL,5,6,"school, point_of_interest, establishment",
POS PAUD MUTIARA INSAN,"Jalan Bebedahan No.171 Kel, RT.03/RW.03, Babakan Penghulu",-6.938970699999999,107.6865798,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SD Negeri Gedebage,"Sd Negeri Gedebage, Babakan Penghulu",-6.940663,107.691555,OPERATIONAL,5,3,"primary_school, school, point_of_interest, establishment",
SMP PGRI 9 Gedebage,"Jalan Gedebage Selatan No.17, Babakan Penghulu",-6.940792,107.691684,OPERATIONAL,5,5,"school, point_of_interest, establishment",
SDN 052 Cisaranten Wetan Gedebage,"Jalan Gedebage Selatan No.17, Babakan Penghulu",-6.9407808,107.6917795,OPERATIONAL,5,2,"primary_school, school, point_of_interest, establishment",
PAUD Rumah Pelangi,"Jalan Soekarno-Hatta No.702, Babakan Penghulu",-6.937869399999999,107.6839513,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Bing Music Indonesia (Sekolah Musik),Jalan Pinus Raya No.80,-6.9340388,107.6836755,OPERATIONAL,4.9,12,"school, store, point_of_interest, establishment",
Montessori Way Play House,"Jalan Pinus Raya No.27, Babakan Penghulu",-6.933960799999999,107.6834269,OPERATIONAL,5,7,"school, point_of_interest, establishment",
TK/SD Baiturrahmah,"3M9P+M4W, Babakan Penghulu",-6.9307566,107.6853369,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Islam Karakter Baiturrahmah,"Grand Pinus Regency, Jalan Pinus VII, Babakan Penghulu",-6.9307403,107.6850127,OPERATIONAL,5,9,"primary_school, school, point_of_interest, establishment",
