name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMP Negeri 33,"Jalan Babakan Tarogong, Babakan Tarogong",-6.9282637,107.589627,OPERATIONAL,4.5,106,"school, point_of_interest, establishment",
TKQ Riyadhul Jannah,"3HCR+X98, Jalan Raden Dewi, Babakan Tarogong",-6.927594699999999,107.59096,OPERATIONAL,5,2,"school, point_of_interest, establishment",
PAUD BU IMAS,"Gang H. Umar Gang Raden Dewi V No.77, Babakan Tarogong",-6.9275365,107.5917161,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK Al-Barru,"Jalan Terusan Pasirkoja No.51A, Babakan Tarogong",-6.9281949,107.5913428,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
Madrasah Sofa As - Salman,"3HCR+PPP, Babakan Tarogong",-6.928159199999999,107.5918211,OPERATIONAL,5,2,"school, point_of_interest, establishment",
UNCREV,"Gang Raden Dewi 6 No.42b, Babakan Tarogong",-6.9281359,107.5918482,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kelas 9b Angkatan 2022-2023,"3HCR+R4G, Gang Anom, Babakan Tarogong",-6.9280724,107.5902979,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SPMAA BANDUNG,"3HFR+7RG, Gang Raden Dewi 3, Babakan Tarogong",-6.9268125,107.5920936,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Madrasah Riyyadul Atfal,"3HCR+FMM, Jl. Bababkan Irigasi, Babakan Tarogong, Bojong Loa Kaler, Babakan Tarogong",-6.928777899999999,107.5916598,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Madrasah Husnul Khotimah,Babakan Tarogong,-6.928380199999999,107.5928597,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Majelis ta'lim daarul 'ilmi,"No rumah 11A, Kode pos 40232,RT02 RW05, Gang Laksana, Babakan Tarogong",-6.929726800000001,107.5905165,OPERATIONAL,5,4,"school, point_of_interest, establishment",
PAUD MISBAHUSSALAM BANDUNG,"Gang AMD V No.9, Babakan Tarogong",-6.928361299999999,107.5936351,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Calakan,"3HFV+8GC, Jalan Terusan Pasirkoja, Babakan Tarogong",-6.926697699999998,107.5937686,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
