name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
BolaBolaBenang,"Jalan Sumber Mekar Perumahan Sumbersari Indah No.6 kav.1-3, Babakan",-6.9328226,107.5744006,OPERATIONAL,4.7,30,"store, school, point_of_interest, establishment",
HMMC,"Ruko Gyan Plaza, Jalan Terusan Pasirkoja No.245 Blok B-11, Babakan",-6.9291751,107.5771329,OPERATIONAL,3.3,9,"school, point_of_interest, establishment",
PAUD AR-ROHIM,"3H7G+W9X, Jalan Soekarno-Hatta Gang Haji Hasan I RT.09/RW.10, Babakan",-6.935139400000001,107.5759937,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TPQ Al-Ishlah Babakan Bandung,"3H8G+M73, Babakan",-6.9333749,107.5756649,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUDQu Az Zakariya,"3H8G+6Q5, Babakan",-6.9344882,107.57697,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Bodhi Sinar Terang School 菩提光明学校,"Jalan Sumber Mekar No.27-2, RT.07/RW.11, Babakan",-6.9356782,107.5741038,OPERATIONAL,3.8,9,"school, point_of_interest, establishment",
BST,"Kompleks Pertokoan Sumbersari Indah, Gang Cendana Jalan Sumber Mekar, Babakan",-6.9357485,107.5740808,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
SLB Gemilang,"Jalan Aki Padma No.7 b, RT.05/RW.08, Babakan",-6.9336138,107.5780787,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Al-Ikhlas,"Jalan Aki Padma No.9, Babakan",-6.933570599999999,107.5780734,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Tjk,"Jalan Soekarno-Hatta Blok Kav E No.101B, Babakan",-6.931614499999999,107.5765376,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MTs Al Amanah Kota Bandung,"Jalan Sumber Sugih Komplek Sumber Sari Indah No.8, Babakan",-6.936698,107.5728672,OPERATIONAL,4.9,213,"school, point_of_interest, establishment",
cibuntu,"Jalan Aki Padma No.42, Babakan",-6.9318604,107.578006,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MT.Riyadhus Sholihin,"RT.03/RW.07, Keluharan, Babakan",-6.9312358,107.5771608,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Kota Al Hidayah SSI,"Jalan Sumber Asih No.32-25, Babakan",-6.9358704,107.571905,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SDN 245 Sumbersari Indah,"Jalan Sumber Makmur No.3, Babakan",-6.937180100000001,107.5726694,OPERATIONAL,4.7,26,"primary_school, school, point_of_interest, establishment",
Pangkoh 1blok b,"4 pangkoh 1 b, Jalan Karya Mukti, Babakan",-6.9360274,107.5718591,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
