name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMP Negeri 34 Bandung,"2JXG+R95, Jalan Waas, Batununggal",-6.950481500000001,107.6259904,OPERATIONAL,4.5,158,"school, point_of_interest, establishment",
RA Assyakur,"Jalan Sekelimus Utara No.16, Batununggal",-6.947744199999999,107.638663,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Homeschooling Primagama Bandung 1,"Jalan Parakan Ayu II No.8, Batununggal",-6.9515704,107.6317771,OPERATIONAL,4.4,18,"school, point_of_interest, establishment",
Yapeptri,"JL Batu Indah Raya, No. 12 B, Batununggal",-6.9535766,107.6334104,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TKIT Luqmanul Hakim,"Jalan Parakan Arum No.17, Batununggal",-6.950959199999998,107.6291131,OPERATIONAL,5,13,"school, point_of_interest, establishment",
MDTA Nurhafa,"2JWP+RFX, Jalan Arhanudri, Batununggal",-6.952894299999998,107.636225,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Yayasan Hazanah,"Jalan Soekarno-Hatta No.354, Batununggal",-6.949570599999999,107.6297478,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Perpustakaan STFI,"Jalan Parakan Resik No.3, Batununggal",-6.949555199999999,107.6297009,OPERATIONAL,4,2,"school, point_of_interest, establishment",
SDN 117 Batununggal,"Jalan Arhanudri No.12b, Batununggal",-6.952689400000001,107.6363534,OPERATIONAL,3,2,"primary_school, school, point_of_interest, establishment",
Paud Melati Bunda,"2JWP+GGV, Jalan Arhanudri III, Batununggal",-6.953642500000001,107.6363075,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Almalia School,"Jalan Terusan Buah Batu No.25, Sukapura",-6.9506633,107.6362435,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Paud Tunas Bangsa,"2JXP+MH2, Gang Rukun, Batununggal",-6.950861299999999,107.6363945,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pianoindah,"Gang Mawar No.164, RT.5/RW.9, Batununggal",-6.952323199999999,107.6368325,OPERATIONAL,5,1,"store, school, point_of_interest, establishment",
Lpk Pelita Hati,"Jalan Terusan Buah Batu No.41A, Batununggal",-6.9519097,107.637443,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDN 130 Batununggal/Sekelimus,"2JWP+RXH, Jalan Terusan Buah Batu Gang Anyelir, Batununggal",-6.9529483,107.6374732,OPERATIONAL,4.5,11,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Parakan Waas,"Jalan Waas No.94 B, Batununggal",-6.953087,107.6267809,OPERATIONAL,5,10,"primary_school, school, point_of_interest, establishment",
Paket A B C,"3J2P+7PX, Jalan Sekelimus Barat, Batununggal",-6.949274799999999,107.6368538,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
POS PAUD CEMPAKA V,"Jalan Terusan Buah Batu No.59, Batununggal",-6.9519854,107.6380459,OPERATIONAL,5,2,"school, point_of_interest, establishment",
