name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMAT Pelita Nusantara,"Jalan Paledang No.297a, Campaka",-6.9016287,107.5691457,OPERATIONAL,4.3,127,"school, secondary_school, point_of_interest, establishment",
SMAN 13 Bandung,"Jalan Raya Cibeureum No.52, Campaka",-6.903441099999999,107.5650556,OPERATIONAL,4.5,195,"secondary_school, school, point_of_interest, establishment",
Sekolah Menengah Atas Kristen 3 BPK Penabur Bandung,"Jalan Raya Cibeureum No.92, Campaka",-6.898798900000001,107.5634918,OPERATIONAL,4.7,27,"school, point_of_interest, establishment",
Smp Negeri 67,"Jalan Asrama Kipal No.55, Campaka",-6.900775599999999,107.565706,OPERATIONAL,5,6,"school, point_of_interest, establishment",
Cahaya Al - Amin,"Jalan Bojong Koneng No.4, Campaka",-6.8995783,107.5668364,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Kompleks SDN Cibeureum 091,"Jalan Asrama Kipal No.55, Campaka",-6.900705099999999,107.5655579,OPERATIONAL,4.3,39,"school, point_of_interest, establishment",
TK. Tawekal,"3HX7+8X8, Jalan Sapta Marga, Campaka",-6.901723,107.5649552,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Smak Bpk Penabur 3,"3HX8+62P, Jalan Asrama Kipal, Campaka",-6.9019162,107.5650814,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Smp Mutiara 4,"Jalan Raya Cimindi No.74, Campaka",-6.9013073,107.5639392,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
SD Advent Cimindi,"Jalan Raya Cimindi No.74, Campaka",-6.9013472,107.5639137,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
Sekolah Menengah Atas Advent Cimindi,"Jalan Raya Cimindi No.74 02, Campaka",-6.901355499999999,107.5638996,OPERATIONAL,4.7,56,"school, point_of_interest, establishment",
SMK Muslimin 1 Bandung,"3HX9+9PF, Jalan Paledang No.297, Campaka",-6.901548499999999,107.5692883,OPERATIONAL,4.9,38,"secondary_school, school, point_of_interest, establishment",
XI-7,"Jalan Jendral Haji Amir Machmud No.52, Campaka",-6.903179199999999,107.5652578,OPERATIONAL,5,4,"school, point_of_interest, establishment",
basenam,"Jalan Jendral Haji Amir Machmud No.52, Campaka",-6.903269400000001,107.5652759,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Sekolah Dasar Negeri Cibeureum 1,"Jalan Asrama Kipal No.56, Campaka",-6.903731299999999,107.5678109,OPERATIONAL,4.3,15,"primary_school, school, point_of_interest, establishment",
TAAM Happy Kids,"3HWC+W2V, Jalan Paledang, Campaka",-6.902631999999999,107.5700584,OPERATIONAL,5,5,"school, point_of_interest, establishment",
