name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMPN 38 Bandung,"Jalan Borobudur No.1, Cibaduyut Kidul",-6.958424999999999,107.59143,OPERATIONAL,4.5,113,"school, point_of_interest, establishment",
TKQ - DTA - DTW AL ALAWY AL ISLAMI,"Jalan Ciparay Tengah No.236, RT.01/RW.06, Cibaduyut Kidul",-6.959878,107.5894763,OPERATIONAL,5,1,"school, food, store, point_of_interest, establishment",
Pondok Pesantren Syifaaush Shuduur,"Jalan Ciparay Tengah No.30, Cibaduyut Kidul",-6.9604867,107.5910132,OPERATIONAL,4.7,43,"school, point_of_interest, establishment",
Paud bermartabat,"2HRQ+FW9, Cibaduyut Kidul",-6.9588481,107.5898673,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Dewi Asri,"Jalan Salakadomas Komplek Cibaduyut permai No.14, Cibaduyut Kidul",-6.9599517,107.5915437,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Cibaduyut,"2HQQ+PJC, Cibaduyut Kidul",-6.9606752,107.589014,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Sekolah Menengah Atas Plus Pariwisata,"Jalan Borobudur No.1, RW.4, Cibaduyut Kidul",-6.958445299999999,107.5913795,OPERATIONAL,5,1,"secondary_school, school, point_of_interest, establishment",
Sekolah Dasar Negeri 229 Cibaduyut,"Jalan Prambanan No.4 Blok O, RT.2/RW.3, Cibaduyut Kidul",-6.9603426,107.5922752,OPERATIONAL,4.6,15,"primary_school, school, point_of_interest, establishment",
RA/BA/TA Mutmainnah,"Jalan Prambanan No.3, RW.06, Cibaduyut Kidul",-6.959312600000001,107.5924476,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDN 228 Cangkuang,"2HQR+CM3, Jalan Ciparay Tengah, Cibaduyut Kidul",-6.961493099999999,107.5916685,OPERATIONAL,4.9,14,"primary_school, school, point_of_interest, establishment",
TKIT Muthmainnah,"Komplek Cibaduyut Permai, Jln Prambanan B 3, Cibaduyut Kidul",-6.959252500000001,107.5924817,OPERATIONAL,4.6,15,"school, point_of_interest, establishment",
TKQ Hidayatul Mubtadiin,"2HQV+P4J, Gang Babakan TVRI II, Cibaduyut Kidul",-6.9606611,107.5927675,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Ra Al-Baqy,"Jl. Ciparay Tengah Komp.Teratai Indah I No. 06 Kel. Cibaduyut Kidul, Kecamatan Bojongloa Kidul, Cibaduyut Kidul, Bojongloa Kidul, Cibaduyut Kidul",-6.961509,107.592262,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Rumah Ilham Andika,"Jl Cibaduyut Gg Ma Maja Blok Sepatu No 61/04, RT.02",-6.957449400000001,107.5924449,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Smks Aqua Vitae,"Gang Kopsi No.60, Cibaduyut",-6.9583204,107.5931891,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SMP Yudhistira,"Jalan Cibaduyut, Cibaduyut Kidul",-6.958304800000001,107.5931827,OPERATIONAL,4.5,17,"school, point_of_interest, establishment",
