name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sensory Motor School,"Jalan RD Rangga Kencana No.43, Mekarwangi",-6.9528132,107.598435,OPERATIONAL,5,3,"school, physiotherapist, health, point_of_interest, establishment",
Kota ku,"2HWV+M9F, Cibaduyut",-6.953320499999999,107.5934181,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK ISLAM ASHOFIAH,"Jl. Indrayasa I RT.01/06, Jalan Cibaduyut, Cibaduyut",-6.952802999999999,107.593833,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kelompok Bermain Ashofiah,"Jalan Cibaduyut No.112 06, Cibaduyut",-6.9546557,107.5932811,OPERATIONAL,1,1,"school, point_of_interest, establishment",
Bojongloa garut,2HXV+48P,-6.9521719,107.593343,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA DAARUN NISAA,"Gang Pak Aip No.183, Cibaduyut",-6.9548153,107.5927974,OPERATIONAL,5,2,"school, point_of_interest, establishment",
MDTA ASHOFIAH,"Jalan Cibaduyut Gang Sawargi 1 No.2, Cibaduyut",-6.95268,107.5945026,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Majelis Ta'lim Nurul Musthofa Al Idrisiyah,"Jalan Sawargi II No.Kel, Cibaduyut",-6.952722899999999,107.5952693,OPERATIONAL,4.9,14,"school, point_of_interest, establishment",
Madrasah Darul Hikmah,"2HXV+9PM, Cibaduyut",-6.9515328,107.5943108,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SDN 233 Cibaduyut,"2HXV+GHW, Cibaduyut",-6.951140000000001,107.5939671,OPERATIONAL,4,7,"primary_school, school, point_of_interest, establishment",
Dolphin Swimming Club,"M-Square Apartment, Jalan Cibaduyut No.142, Cibaduyut",-6.9560153,107.5929967,OPERATIONAL,4.6,54,"school, health, point_of_interest, establishment",
Masjid Nurul Huda cibaduyut,"2HVV+MQV, Gang Haji Ibrahim, Cibaduyut",-6.955774799999999,107.5944116,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TK Al-Hadits Sholihin,"2HXR+GQH, Unnamed Road, Cibaduyut",-6.9511764,107.5919957,OPERATIONAL,5,3,"school, point_of_interest, establishment",
