name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK MELATI MEKAR,"3JGM+CCJ, Jalan Cibangkong, Cibangkong",-6.923897,107.6334576,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Pelangi,"3JGM+483, Jalan Cibangkong, Cibangkong",-6.924736099999999,107.6332826,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Ms Academy,"3JGM+R2H, Jalan Anak Kali Cikapundung, Cibangkong",-6.9229476,107.6326151,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
bandung,"Jalan Cibangkong No.46-34, Cibangkong",-6.9242398,107.6322419,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Al-Fitrah Kindergarten,"Jalan 17 Agustus II No.19, RW.1, Cibangkong",-6.924311199999999,107.6316195,OPERATIONAL,5,1,"school, point_of_interest, establishment",
BeungeutSoak BC,"3JGJ+5M7, Jalan 17 Agustus II, Cibangkong",-6.924576999999999,107.6316655,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren Darul Hidayah,"Jalan 17 Agustus II No.19, Cibangkong",-6.924575299999999,107.6316196,OPERATIONAL,5,27,"school, point_of_interest, establishment",
Majilis Tal'im Darul Hidayah,"Jalan 17 Agustus II No.17, Cibangkong",-6.924481899999999,107.6315826,OPERATIONAL,4.5,24,"school, point_of_interest, establishment",
PG-TK Slamet Riyadi 1,"Jalan Gatot Subroto No.221, Cibangkong",-6.925361,107.6319828,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Ignatius Slamet Riyadi Elementary School,"Jalan Gatot Subroto No.221, Cibangkong",-6.9252772,107.6318289,OPERATIONAL,4.6,36,"primary_school, school, point_of_interest, establishment",
Cinta asih,"3JHM+HQ7, Gang Cinta Asih Selatan, Cibangkong",-6.921089200000001,107.6344282,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
barudak mars,"3JHM+G3C, Jalan Cinta Asih Utara, Cibangkong",-6.921178499999999,107.632629,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Sekolah Dasar Negeri 028 Gumuruh,"Jalan Cibangkong No.13, Cibangkong",-6.923706800000001,107.6308763,OPERATIONAL,4.6,13,"primary_school, school, point_of_interest, establishment",
Sekolah Dasar Negeri Gumuruh 2,"Jalan Cibangkong No.13, Cibangkong",-6.923982899999999,107.6308167,OPERATIONAL,4.3,8,"primary_school, school, point_of_interest, establishment",
