name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Madrasah Modern Insan Madani,"Jalan Pesantren No.32, Cigadung",-6.880777799999999,107.6271021,OPERATIONAL,4.7,15,"school, point_of_interest, establishment",
RA AL Burhan,"Jalan Cigadung Pesantren No.32, Cigadung",-6.880879200000001,107.6270645,OPERATIONAL,3.7,9,"school, point_of_interest, establishment",
Kursus Menjahit YANI 41,"Jalan Cigadung Raya Tengah No.57, Cigadung",-6.882648499999998,107.6273823,OPERATIONAL,5,17,"school, point_of_interest, establishment",
Pondok Pesantren Miftahul Khoir,"Jalan Tubagus Ismail VIII No.60, Dago",-6.880272499999999,107.621591,OPERATIONAL,4.8,120,"school, point_of_interest, establishment",
TK Islam Lathifiyah,Cigadung,-6.883486,107.6327235,OPERATIONAL,4,1,"school, point_of_interest, establishment",
Padi Playhouse,"Jalan Cigadung Raya Timur No.106, Cigadung",-6.8854912,107.6305737,OPERATIONAL,4.8,8,"school, point_of_interest, establishment",
TKIT / RA Al-Muslim Bandung,"Jalan Cibeunying Permai III No.17, Cigadung",-6.887662,107.628385,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Rumah Quran Tar-Q Cigadung,Jalan Alfa I No.8,-6.8796411,107.6271453,OPERATIONAL,5,2,"school, point_of_interest, establishment",
PAUD/TK Ajwa,"4JCH+66H, Gang Pesantren Tengah, Cigadung",-6.8794463,107.6281103,OPERATIONAL,3,2,"school, point_of_interest, establishment",
Bimba Bintang Junior Cigadung Bandung,"Jalan Cigadung Wetan Gang Pesantren Tengah No.17, RT.RW. 04/RW.05",-6.8807398,107.6277551,OPERATIONAL,5,46,"school, point_of_interest, establishment",
tk al battani,"4JCH+59G, Jalan Cigadung Wetan, Cigadung",-6.879570600000001,107.6284619,OPERATIONAL,5,2,"school, point_of_interest, establishment",
MA INSAN MANDIRI,"4J9G+HMJ, Cigadung",-6.881035199999999,107.6266559,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren Abi Jalal,"Jalan Pesantren Timur 2 No. 7, Cigadung",-6.881388200000001,107.6282904,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
SDN 149 CIGADUNG,"Jalan Rancakendal No.99, Cigadung",-6.878626400000001,107.6254858,OPERATIONAL,4.7,40,"primary_school, school, point_of_interest, establishment",
Al yahya,"Jalan Pesantren No.160, Cigadung",-6.880394,107.6249902,OPERATIONAL,4.8,5,"school, point_of_interest, establishment",
Rumah Alam User Aldous,"Gang Cigadung Kaler V No.1, Cigadung",-6.879208299999999,107.6244106,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
