name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Junior High School 8 Bandung,"Jalan Alun-Alun Utara No.211 B, Cigending",-6.913243,107.7017467,OPERATIONAL,4.3,124,"school, point_of_interest, establishment",
Lembaga Wakaf INSAN KAMIL Bandung,"Jalan Sukup Lama No.80, RT.02/RW.01, Cigending",-6.909868400000001,107.6937732,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Aurora Fast & Fun,"Jalan Situ Indah 4 Baru No.99, Cigending",-6.911392299999999,107.702163,OPERATIONAL,5,10,"school, point_of_interest, establishment",
PGRI 10 Bandung Junior High School,"3MRV+2F3, Jalan Sukup Lama No.15, RT.1/RW.1, Cigending",-6.911137099999999,107.692548,OPERATIONAL,4.3,24,"school, point_of_interest, establishment",
TK Baiturrahmah 2,"Jalan Ujungberung Indah Ceria No.2, Cigending",-6.911322500000001,107.6977545,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Heri,"3MQW+PR2, Cigending",-6.9107406,107.6970078,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PKBM Bina Cipta Ujung Berung,"Andir Kaler RT 06 RW 03, Cigending",-6.912243899999999,107.6981682,OPERATIONAL,4.5,8,"school, point_of_interest, establishment",
Pondok Pesantren Darul Ihsan Ar-rochman,"3MQX+FQV, Cigending",-6.911224,107.699764,OPERATIONAL,5,8,"secondary_school, school, point_of_interest, establishment",
WARWOW BASECAMP.,"3MQX+FQV, Cigending",-6.910885499999999,107.6999771,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
BiMBA AIUEO Ujung Berung,"Komplek, Jalan Ujungberung Indah Raya No.8 Blok 6",-6.9117473,107.6958811,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Terpadu Bina Insan Mandiri,"3PR2+24X, Jalan Harumansari, Cigending",-6.9098833,107.7003744,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Madrasah AL ASHRI,"3PQ2+Q6V, Cigending",-6.9105061,107.7005472,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Madrasah Al Hikmah,"Jalan Sukup Lama No.219, RT.006/RW.001, Cigending",-6.9102264,107.6953684,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Rumah Ceria Childcare,"Pondok Ar Raudhi, Jalan Pasir Jati No.72",-6.9078371,107.6987765,OPERATIONAL,5,4,"school, point_of_interest, establishment",
Tk Atmanata,"andir kaler 1 no.4, RT.05/RW.03, Cigending",-6.9135009,107.6979353,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
Kumon Indonesia - Ujungberung Indah,"Perumahan Ujung Berung IndahJL. Palem No.10,, Bandung,, 40612, Cigending",-6.913124100000001,107.6964341,OPERATIONAL,3.9,12,"school, point_of_interest, establishment",
