name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Yayasan Al-insyirah,"Jalan Gempol Asri XII No.4, Cigondewah Kaler",-6.930678599999999,107.5587839,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SDN 239 CIGONDEWAH,"Jalan Batu Rengat No.RT.01/01, Cigondewah Kaler",-6.9381444,107.5572141,OPERATIONAL,4.8,17,"primary_school, school, point_of_interest, establishment",
SDN 238 CIGONDEWAH,"Jln blok jambangan rt03/rw10 kelurahan, Cigondewah Kaler",-6.935840499999999,107.5611606,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
Toko Rifki surpet,"Jln blok jambangan rt03/rw10 kelurahan, Cigondewah Kaler",-6.935837299999999,107.5611531,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
SDN 014 Cigondewah,"Jalan Cigondewah Kaler No.15, Cigondewah Kaler",-6.9343057,107.5635026,OPERATIONAL,4.6,24,"primary_school, school, point_of_interest, establishment",
PAUD Al-Muhabbah,"3H87+FG7, Jalan, Cigondewah Kaler",-6.933835999999999,107.5638097,OPERATIONAL,4.9,34,"school, point_of_interest, establishment",
RA/BA/TA Al Muslimin,"Jalan Cigondewah Kaler No.14, Cigondewah Kaler",-6.9327312,107.5632182,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kidz Center Plus,"Jalan Cigondewah Kaler No.104, Cigondewah Kaler",-6.936223599999999,107.5658377,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SME,"3H88+C84, Cigondewah Kaler",-6.9339757,107.5658422,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
One Dance Academy,"3H67+FFR, Cigondewah Kaler",-6.938759699999999,107.5636372,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren Al-Anwariyah Cigondewah BANDUNG,"3H78+88H, Cigondewah Kaler",-6.9366859,107.5658676,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Kober miftahussalam,Cigondewah Kaler,-6.936324399999999,107.5587903,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TKK BPK PENABUR THI,"Jalan Taman Holis Indah II No.20, Cigondewah Kidul",-6.939031900000001,107.5637792,OPERATIONAL,5,13,"school, point_of_interest, establishment",
Pondok Pesantren Riadussorfi Wa Nahwi Cigondewah Kaler,"3H88+P96, Cigondewah Kaler",-6.933200299999999,107.5658869,OPERATIONAL,5,1,"school, point_of_interest, establishment",
