name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
MTs Aisyah,"Jalan Cigondewah Kidul No.4, RT.4/RW.4, Cigondewah Kidul",-6.940162900000001,107.5664735,OPERATIONAL,4.7,19,"point_of_interest, school, establishment",
BPK Penabur Christian Junior High School Holis,"Jalan Taman Holis Indah No.Blok A, Cigondewah Kidul",-6.9395202,107.564665,OPERATIONAL,4.6,39,"point_of_interest, school, establishment",
SDK BPK PENABUR THI BANDUNG,"Jalan Taman Holis Indah No.15, Cigondewah Kidul",-6.939346400000001,107.5644867,OPERATIONAL,4.3,12,"primary_school, point_of_interest, school, establishment",
SMA BPK PENABUR HOLIS,"Perumahan Taman Holis Indah, Blok A, Cigondewah Kidul",-6.938792,107.564542,OPERATIONAL,4.3,30,"point_of_interest, school, establishment",
Majlis dzikir Ar Rochman,"3H56+JWP, Blok Sawah RT.003/RW.002, Cigondewah Kidul",-6.940915299999999,107.5623274,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
cigondewah kidul,"3H56+887, Cigondewah Kidul",-6.9417182,107.5607908,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
FamilyStudyGroup,"Taman Holis Indah B2 No.47, Cigondewah Kidul",-6.943073800000001,107.5637368,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SDN 232 Blok Sawah,"3H45+MX5, Cigondewah Kidul",-6.9433738,107.5599958,OPERATIONAL,4.8,9,"point_of_interest, school, establishment",
PKBM CITRA PRIANGAN,"Jalan Cigondewah Rahayu No.25, RT.09/RW.06, Cigondewah Rahayu",-6.9444988,107.5641852,OPERATIONAL,4.1,11,"school, point_of_interest, establishment",
MIS AISYAH BANDUNG,"Jalan Cigondewah Kidul No.4, RT.4/RW.4, Cigondewah Kidul",-6.9401226,107.5662549,OPERATIONAL,5,8,"primary_school, point_of_interest, school, establishment",
MI Darussalam,"3H47+6XX, Jalan Tanjakan Ma'aren, Cigondewah Kidul",-6.944378599999999,107.5649946,OPERATIONAL,4,4,"primary_school, point_of_interest, school, establishment",
