name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PPI 344 MI AL-MU'AWANAH,Jalan Cigondewah Rahayu RT.01/RW.06,-6.9475747,107.5643446,OPERATIONAL,4.9,8,"school, point_of_interest, establishment",
TK Azzahra - Masjid Al Ittihad,"3H37+8GG, Cigondewah Rahayu",-6.946686000000001,107.5638375,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Masjid Al-Hidayah Saradan,"3H27+9G3, Cigondewah Rahayu",-6.9491043,107.5637993,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pos PAUD Citra Wahyu,Indonesia,-6.949403,107.5634256,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK AZ-ZAHRA,"Jalan Cigondewah Rahayu, Kampung Gang Saradan RT.001/RW.003, Cigondewah Rahayu",-6.949446000000001,107.5636515,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Cigondewah Hilir,"3H27+72X, Jalur Keluar Tol Pasir Koja, Warung Muncang",-6.949256699999999,107.5626005,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Pondok Pesantren Al Muawanah,"Jalan Cigondewah Rahayu No.15, Cigondewah Rahayu",-6.9463687,107.5649144,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Kursus Mengemudi Merpati,"Blok C2, Jalan Taman Holis Indah No.I No.63, Margahayu Selatan",-6.947765999999999,107.5613999,OPERATIONAL,4.8,4,"school, point_of_interest, establishment",
body Holic,"Jalan Taman Holis Indah 1 c1 no 15, Cigondewah Rahayu, Bandung Kulon, Cigondewah Kidul",-6.945663499999999,107.5620671,OPERATIONAL,4.5,4,"school, point_of_interest, establishment",
LCC TK SD Kasih Bangsa,"Jalan Taman Holis Indah No.Blok G, Cigondewah Rahayu",-6.946792899999999,107.560717,OPERATIONAL,4.5,31,"school, point_of_interest, establishment",
Homeschooling Bintang Harapan,"Jalan Taman Holis Indah No.24 Blok F2, RW.25, Cigondewah Rahayu",-6.945697099999999,107.5612147,OPERATIONAL,4.8,22,"school, point_of_interest, establishment",
PT HILFI DEV TECHNOLOGY,"Jl Taman Holis Indah Gg Sumur Sari No.15 RT03/ Kel, Cigondewah Rahayu",-6.9448884,107.5624661,OPERATIONAL,5,35,"school, point_of_interest, establishment",
Kimberly Zylin Carlisle,"3H46+2XW, Jalan Taman Holis Indah, Cigondewah Rahayu",-6.9448884,107.5624661,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Kelas 6,"3H36+PFP, Taman Holis Indah Blok F, Cigondewah Rahayu",-6.9456639,107.5612095,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Mery Study Centre,"Jalan Taman Holis Indah No.1 Blok B 1 No, 2, Rahayu",-6.9510247,107.5645592,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Elementary School 256 Cigondewah Hilir,Cigondewah Rahayu,-6.9454783,107.5659391,OPERATIONAL,4.3,19,"primary_school, school, point_of_interest, establishment",
