name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Seminari Menengah Cadas Hikmat,"Jalan Suryalaya Sari No.5, Cijagra",-6.941440900000001,107.6262294,OPERATIONAL,4.8,11,"school, point_of_interest, establishment",
Telkom School Buah Batu,"Jalan BKR No.11, Cijagra",-6.9378031,107.6216408,OPERATIONAL,4.9,15,"school, point_of_interest, establishment",
SDN 202 SURYALAYA,"Jalan Surya Indah No.81, Cijagra",-6.9444949,107.6253328,OPERATIONAL,4.4,17,"primary_school, school, point_of_interest, establishment",
Les Ko Danny,"Jalan Suryalaya I No.4, Cijagra",-6.9439181,107.6237748,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pangajian,"Jalan Suryalaya Timur III No.10, Cijagra",-6.945738,107.624788,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Nurul Hikmah,"3J3G+F5C, Cijagra",-6.946324300000001,107.625402,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TK Pertiwi,"Jalan Situ Lembang No.12, RT.04/RW.03, Cijagra",-6.944578099999999,107.6278768,OPERATIONAL,4.3,11,"school, point_of_interest, establishment",
TK Quran Baladun Amin,"Jalan Situ Lembang No.1, Cijagra",-6.945399699999999,107.6276918,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Cijagra 2,"Jalan Situ Lembang No.1, Cijagra",-6.944382,107.628088,OPERATIONAL,4.4,20,"primary_school, school, point_of_interest, establishment",
MAPALA ARGA WILIS ISBI BANDUNG,"Jalan Buah Batu No.212, Cijagra",-6.942953599999999,107.6278481,OPERATIONAL,4.7,3,"school, point_of_interest, establishment",
Gita Suara Choir ISBI Bandung,"Jalan Buah Batu No.212, Cijagra",-6.943322999999999,107.6280587,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Mitra Mandiri Course(MMC),"Jalan Suryalaya No.55, Cijagra",-6.9444871,107.6223066,OPERATIONAL,4.2,6,"school, point_of_interest, establishment",
Daycare Rumah Bunda & AlHasan Islamic Preschool,"100 meter dari, Rumah Bunda Al Hasan ,Jl. Situ Cipanunjang No.1A Dekat Kampus ISBI belakang Bank OCBC NISP, Kelurahan jalan Raya Buah, Batu, Cijagra",-6.9442132,107.6285033,OPERATIONAL,4.4,7,"school, point_of_interest, establishment",
KB TK Al-Muhajirin Suryalaya,"Jalan Suryalaya Baru, Cijagra",-6.9440019,107.6216612,OPERATIONAL,4.4,12,"school, point_of_interest, establishment",
