name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PGRI 7 Junior High School,"Jalan Kencanawangi Utara No.10, Cijaura",-6.959402000000002,107.652119,OPERATIONAL,4.3,27,"school, point_of_interest, establishment",
Vocational High School PGRI Bandung,"Jalan Kencanawangi Utara No.22, Cijaura",-6.9590595,107.652199,OPERATIONAL,4.9,121,"school, point_of_interest, establishment",
SMK Negeri 10 Bandung,"Jalan Cijawura Hilir No.339, Cijaura",-6.9642737,107.6578942,OPERATIONAL,4.6,306,"school, point_of_interest, establishment",
Tk Taman Indria,"Jalan Kencana Asri, Cijaura",-6.9595622,107.6510928,OPERATIONAL,5,1,"school, point_of_interest, establishment",
PAUD Mawar 13,"2MQ2+RQQ, Jalan Margawangi VIII, Cijaura",-6.9604219,107.651977,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Ponpes Abdullah Ibnu Abbas,"Jalan Hj. Ratnamah No.3, Cijaura",-6.9565378,107.6504979,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Tk Islam Al-Muhajir,"Blok E No.2, Cijaura",-6.961071,107.6516093,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Pos PAUD Pandanwangi,"2MQ2+GH3, Cijaura",-6.9612269,107.6514154,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
TK Rumahku Surgaku,"Jalan Cijawura Hilir Jalan Ciwastra No.51, Cijaura",-6.9576559,107.6540891,OPERATIONAL,4,3,"school, point_of_interest, establishment",
TK Permata Ibunda,"Jalan Batu Permata I No.5, Cijaura",-6.956110899999999,107.6485883,OPERATIONAL,4.7,11,"school, point_of_interest, establishment",
TK PicuPacu Kreativitas! Indonesia (Margawangi),"Jalan Margawangi Raya No.8, Cijaura",-6.962084399999999,107.6524478,OPERATIONAL,5,3,"school, point_of_interest, establishment",
TK Bany Rahmah,"Jalan Cijawura Hilir No.7, Cijaura",-6.959337199999999,107.6549055,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Grow 'n Blossom,"Jalan Bunga Bakung V No.6, Cijaura",-6.957171,107.6470201,OPERATIONAL,5,2,"school, point_of_interest, establishment",
RA Anak Shaleh,"Jalan Margacinta No.2, Cijaura",-6.9557442,107.6542719,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Smk viijayakusuma,2MV3+PP2,-6.9557413,107.654271,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Sd Cijaura,"2MV3+PP2, Cijaura",-6.9557413,107.654271,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
PAUD JANNAH,"LINK, Jalan Margacinta",-6.955143399999999,107.6479082,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
