name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pondok Pesantren Al - Istiqomah Wanasari,"Jalan Raya Cijerah No.145 05, Cibuntu",-6.922469,107.568383,OPERATIONAL,4.3,21,"school, point_of_interest, establishment",
Rumah belajar Melong,"3HJ8+4JR, Jalan Melong Asih, no24B",-6.919637799999999,107.5665105,OPERATIONAL,5,1,"school, point_of_interest, establishment",
PAUD SPS TUNAS CENDIKIA,"Gang Manunggal IIC RT.07/RW.09, Cijerah",-6.917697,107.5661104,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Melong,"Jalan Melong Cijerah V No.7, Cijerah",-6.9183826,107.5692244,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
"SDN Sayuran 2, 3","3HJ8+X6W, Cijerah",-6.917506200000001,107.5655885,OPERATIONAL,4.2,26,"primary_school, school, point_of_interest, establishment",
TK PERMATA KASIH,"Jalan Cijerah Indah I No.11, Cijerah",-6.920667000000001,107.5686803,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Jln.mekar Mulya.1 Mesjid Ghoniyyul Hikmah,"3HH8+W3H, Cijerah",-6.920199599999999,107.5652296,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK Santa Regina,"Jalan Cijerah Indah I No.3, Cijerah",-6.920928,107.568521,OPERATIONAL,5,3,"school, point_of_interest, establishment",
SAYURAN 199 Elementary School,"Kampung Sayuran, Gang Manunggal IIC RT.07/RW.07, Cijerah",-6.9168071,107.5652239,OPERATIONAL,4.6,28,"primary_school, school, point_of_interest, establishment",
SDM IKM Industri TPT,"3HH9+7CJ, Jalan Raya Cijerah, Cijerah",-6.9217942,107.5685098,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Cijerah III,"Jalan Raya Cijerah No.116, Cijerah",-6.9213039,107.5694132,OPERATIONAL,3,2,"primary_school, school, point_of_interest, establishment",
SDI Baitul Hikmah,"Jalan Mekar Indah Pemukiman Mekar Indah No.2B, Cijerah",-6.921267599999999,107.5650013,OPERATIONAL,4.9,30,"school, point_of_interest, establishment",
