name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Homeschooling Taman Sekar Bandung,"Jalan Sukarajin II No.15, Cikutra",-6.902601499999999,107.6389772,OPERATIONAL,4.6,23,"school, point_of_interest, establishment",
Public High School 10 Bandung,"Jalan Cikutra No.77, Cikutra",-6.902711999999999,107.643974,OPERATIONAL,4.5,237,"school, point_of_interest, establishment",
SD Santo Yusup,"Jalan Cikutra No.05, Cikutra",-6.9072572,107.6430485,OPERATIONAL,4.5,46,"primary_school, school, point_of_interest, establishment",
Gaya Trie,"JL Sukarajin, No. 4, Gandasari, Katapang, Cikutra",-6.903393299999999,107.6395937,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kober Fatimah Az-Zahra,"Jl sukarajin II RT 02 RW 12 Kel. Cikutra Kec, Kec, Cikutra",-6.9031796,107.6389374,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Ra Nabila,"Jalan Sukarajin II No.19, Cikutra",-6.904575100000001,107.6399147,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK FALAASIFAH,"Jalan Sekepanjang 1 No.60, Cikutra",-6.9034804,107.6418714,OPERATIONAL,4.9,38,"school, point_of_interest, establishment",
LM,"jl.warung lobak, kp Jalan Sukarajin II No.62",-6.9014875,107.638693,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pos Paud Bintang Kecil,"Jalan Bekamin BLK No.14, RT.05/RW.14, Cikutra",-6.901048599999999,107.6411733,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
"Roleplay, bandung","3JWR+GRF, Cikutra",-6.903693700000001,107.6420421,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Mushola Ar rochmah Lapang Abu,"Jalan Lemah Neundeut I No.179 142D, Cikutra",-6.905210499999999,107.6401658,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Tk mutiara,Jalan Bekamin,-6.900654299999998,107.6415473,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
