name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SD Juara Bandung,"Jalan Terusan Panyileukan No.13, Cipadung Kidul",-6.9396935,107.7119522,OPERATIONAL,4.8,43,"primary_school, school, point_of_interest, establishment",
Al Biruni Cerdas Mulia,"Jalan Terusan Panyileukan No.11, Cipadung Kidul",-6.9404346,107.7112696,OPERATIONAL,4.7,24,"school, point_of_interest, establishment",
Bolabot ( Sekolah Robot ),"Jalan Sauyunan VI No.10 Blok F6, Cipadung Kulon",-6.943547799999999,107.7163696,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Kuttab Al Fatih Gedebage,"Jalan Melati Utama No.2, RT 01/12, Cipadung Kidul",-6.946024,107.7063466,OPERATIONAL,4.9,54,"school, point_of_interest, establishment",
KUMON BUMI PANYILEUKAN,Cipadung Kidul,-6.9406035,107.7124349,OPERATIONAL,5,3,"school, point_of_interest, establishment",
SMP IT AR-RIFQI,"Blok Lembang Buleud, Jalan Terusan Panyileukan Gang Pesantren, Cipadung Kidul",-6.9420494,107.7123794,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
RA Persis Daarussalaam,"3P56+4P4, Cipadung Kidul",-6.9421607,107.7117711,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA/BA/TA Al Muhajir,"Jalan Raya Panyileukan No.14 BLOK B5, Cipadung Kidul",-6.9398359,107.7135619,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TPQ Al-Muhajir,"JL. Bumi Panyileukan, B5, No. 14, Cipadung Kidul, Panyileukan, Cipadung Kidul",-6.939823700000001,107.7137211,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TK AISYIYAH 1 RANCAEKEK,"3P57+2JX, Kp. Babakan Harja RT.03/RW.02",-6.942375199999999,107.7141145,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Komplek Panyileukan Regency Blok D2,"3P47+Q74, Unnamed Road, Cipadung Kidul",-6.943113899999999,107.7132034,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Musik Desan (Les Musik RMD),"Komplek Bumi Panyileukan Cibiru No.2 Blok C5, Cipadung Kidul",-6.940466,107.714756,OPERATIONAL,4.8,53,"school, store, point_of_interest, establishment",
TK Al Biruni,"Jalan Raya Panyileukan No.8 - 11, Cipadung Kidul",-6.938212300000001,107.7123882,OPERATIONAL,4.9,7,"school, point_of_interest, establishment",
SD Science Al-Biruni,"Komplek Bumi Panyileukan Jalan Raya Panyileukan No.11, Cipadung Kidul",-6.938004899999999,107.7131303,OPERATIONAL,4.8,65,"primary_school, school, point_of_interest, establishment",
SMP Juara Bandung,"Komp. Taman Cipadung Indah, Cipadung Kidul",-6.938402600000001,107.7105916,OPERATIONAL,4.6,94,"school, point_of_interest, establishment",
LPK PRAMIDIA,"3P65+7RC, Cipadung Kidul",-6.9393224,107.7095143,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Dwi Lestari,"Komplek Bumi Panyileukan No.C2/9, Cipadung Kidul",-6.9398656,107.715616,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Bimba Rainbow Kids Panyileukan - Bandung,"Panyileukan Regency, Blok A Jalan Raya Panyileukan No.11, RT.001/RW.006, Cipadung Kidul",-6.9443848,107.714084,CLOSED_TEMPORARILY,5,3,"school, point_of_interest, establishment",
Bimbel BRAINY,"blok G9 No.22, Komplek Bumi Panyileukan, Cipadung Kidul",-6.944242699999999,107.7144063,OPERATIONAL,4.4,7,"school, point_of_interest, establishment",
Rumah Seduh I 55,"Jalan Sakola No.1, Cipadung Kidul",-6.941948600000001,107.7085312,OPERATIONAL,5,21,"cafe, school, store, food, point_of_interest, establishment",
