name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Rumah Quran Indonesia,"Panghergar Permai, Jalan Panutan I No.12, Cipadung Kulon",-6.9207909,107.7044084,OPERATIONAL,4.8,47,"point_of_interest, school, establishment",
Asrama Aisyah KTA,"Jalan Panutan I No.12, Cipadung Kulon",-6.9207812,107.7043969,OPERATIONAL,3,2,"school, point_of_interest, establishment",
Tk Nurlaela,"Jalan Pamitran IV No.14, Cipadung Kulon",-6.9215718,107.7031326,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kober dan RA Al Ikhlash,"Jalan Padepokan IV, Cipadung Kulon",-6.920638899999999,107.7032004,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TKQ dan DTA Al Ikhlash,"3PH3+P6H, Jalan Padepokan IV, Cipadung Kulon",-6.920697499999999,107.7031031,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SDN 105 Sukarela,Cipadung Kulon,-6.9244176,107.7047554,OPERATIONAL,5,4,"primary_school, point_of_interest, school, establishment",
MI Nurul Huda,"Jalan Sindangsari No.137, Cipadung Kulon",-6.9204565,107.7022174,OPERATIONAL,5,1,"point_of_interest, school, establishment",
Pondok Pesantren Assalam,"Jalan Padepokan Raya No.10, Cipadung Kulon",-6.9194194,107.7030746,OPERATIONAL,5,4,"school, point_of_interest, establishment",
SD Negeri Sukarela 2,"Jalan Mekar Mulya No.40, Cipadung Kulon",-6.924542,107.7049045,OPERATIONAL,4.8,6,"primary_school, point_of_interest, school, establishment",
Kaka Arya Dede Nova,"no., Jalan Panyawangan Raya No.34, Cipadung Kulon",-6.9214886,107.7017099,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SLB BC Bina Mandiri,"Jalan Sukamaju Jalan Raya Ujung Berung No.18, Cipadung Kulon",-6.918917500000001,107.7067336,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Sekolah Rumah Anak Cemara,"Jalan Sindangsari No.83, Cipadung Kulon",-6.921277399999999,107.7008456,OPERATIONAL,5,3,"school, point_of_interest, establishment",
SDN 258 Sukarela Kota Bandung,"Jalan Panyawangan VI No.7, Cipadung Kulon",-6.923031700000001,107.7007561,OPERATIONAL,4.8,30,"primary_school, point_of_interest, school, establishment",
SMP/SMA Guna Dharma,"Jl.A.H. Nasution, KM 11,70, Jalan Raya Ujung Berung No.208, Cipadung Kulon",-6.918155,107.706639,OPERATIONAL,4.1,17,"point_of_interest, school, establishment",
Rubima Matematika Bu Ida,"Jalan Sindangsari No.94, Cipadung Kulon",-6.919844,107.7008035,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Akper Bhakti Kencana,"Jalan AH. Nasution No.349, Pasanggrahan",-6.919927,107.708704,OPERATIONAL,3.9,14,"point_of_interest, school, establishment",
