name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PAUD Terpadu Rumah Lebah,"Jalan Embah Jaksa No.237, Cipadung",-6.9244869,107.7166176,OPERATIONAL,4.8,6,"school, point_of_interest, establishment",
Madrasah Aliyah Negeri 2 Kota Bandung,"Jalan Raya Cipadung No.57, Cipadung",-6.927434999999999,107.7166694,OPERATIONAL,4.5,184,"school, point_of_interest, establishment",
Senior High School 26 Bandung,"Jalan Sukaluyu No.26, Cipadung",-6.9174432,107.7250054,OPERATIONAL,4.5,130,"school, point_of_interest, establishment",
KB Brilian Ceria,"Jl. Reformasi Cigagak No.6B, RT.003/RW.013, Cipadung",-6.924544,107.7199296,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK Quwwatul 'Asmi,"Jalan Desa Cipadung No.198, Cipadung",-6.924826100000001,107.7184881,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Paud Al mukmin,hadueh kolot,-6.922978199999999,107.7200069,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Dasar Negeri 169 Pelita,"Jalan Desa Cipadung No.121, Cipadung",-6.922773800000001,107.7198629,OPERATIONAL,4.6,35,"primary_school, school, point_of_interest, establishment",
TK BANGKIT,"Jalan Desa Cipadung No.14B, RT.04/RW.15, Cipadung",-6.922219699999999,107.7200479,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kober Mawar Cibiru,"3PH9+7MP, Bandung, Cipadung",-6.921784399999999,107.71919,OPERATIONAL,4,1,"school, point_of_interest, establishment",
Kos,"3PH9+6VM, Cipadung",-6.921778199999999,107.7196283,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MDTA RB As-Sholihat,"3PF9+F6R, Cipadung",-6.9262631,107.7180072,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Smas Bpn,"Jalan Desa Cipadung No.213, Cipadung",-6.926334700000001,107.7176104,OPERATIONAL,5,3,"school, point_of_interest, establishment",
