name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Teras Yatim Indonesia,"Jalan Riung Hegar Raya No.10, Cipamokolan",-6.942624299999999,107.6787016,OPERATIONAL,4.9,9,"school, point_of_interest, establishment",
SLB Nike Ardilla,"Jalan Cipamokolan Kolot No.19B, Cipamokolan",-6.941793000000001,107.6756792,OPERATIONAL,4.9,36,"school, point_of_interest, establishment",
Sekolah AKSI,"Kompleks Riung Bandung, Jalan Saluyu B V No.19, Cipamokolan",-6.9504013,107.6820822,OPERATIONAL,5,162,"school, point_of_interest, establishment",
SDN 263 Rancaloa,"SDN Rancaloa, Jalan Cipamokolan No.62, Cipamokolan",-6.9466628,107.6763532,OPERATIONAL,4.8,19,"primary_school, school, point_of_interest, establishment",
ESA Kareem Primary School,"3M3G+J9V, Jalan Bina Asih Timur I, Cipamokolan",-6.9458825,107.675924,OPERATIONAL,4.9,27,"primary_school, school, point_of_interest, establishment",
SMPIT AL FITRAH,"Jalan Cipamokolan No.59, RT.12/RW.05",-6.9479843,107.6760367,OPERATIONAL,4.4,29,"school, point_of_interest, establishment",
Ashfiya Islamic Preschool & Kindergarten,"Jalan Batu Karang No.2, Cipamokolan",-6.948586,107.675938,OPERATIONAL,3,2,"school, point_of_interest, establishment",
TKQ NURFATWA,"Jalan Babakan Wadana RT.05/RW.08, Cipamokolan",-6.9465625,107.6778349,OPERATIONAL,4.6,5,"school, point_of_interest, establishment",
PTM ALVA,"3M3F+FH4, Jalan Bumi Asih Raya, Cipamokolan",-6.946373800000001,107.6739547,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA Madinah,"Jalan Bina Asih Raya No.16, Cipamokolan",-6.9463745,107.6738443,OPERATIONAL,3.8,4,"school, point_of_interest, establishment",
Karya Santosa,"Jalan Santosa Asih IV No.16, Cipamokolan",-6.9475647,107.6739757,OPERATIONAL,4.6,5,"school, point_of_interest, establishment",
Fun-nia Learning Center,Cipamokolan,-6.9436391,107.6762796,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
alfattah,"3M4F+CP3, Cipamokolan",-6.9439981,107.6743026,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Asrama Pendidikan Yatim Dhuafa Yayasan Lidzikri,"Jalan Babakan Wadana Gang H. Abdul Majid RT.05/RW.08, Cipamokolan",-6.945634399999999,107.6790391,OPERATIONAL,4.8,5,"school, point_of_interest, establishment",
Lidzikri School,"3M3H+QJG, Gang H. Abdul Majid, Cipamokolan",-6.945674299999999,107.6790589,OPERATIONAL,5,3,"primary_school, school, point_of_interest, establishment",
Yayasan Aksi Grup Bandung,"Jl. Cipamokolan Komp. Batu Karang Cipta Pesona Ruko B17 Kel, Cipamokolan",-6.9503874,107.6761242,OPERATIONAL,5,16,"school, point_of_interest, establishment",
TPA AL-MUFIDA,"3M5F+2WP, Jalan Rancaloa RT.04/RW.03, Cipamokolan",-6.943497699999999,107.6740465,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Ahe Lestari Rancasari,"Jalan Rancaloa RT.05/RW.02, Cipamokolan",-6.9428074,107.6756116,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SLB YPDP,"Kompleks, Jalan Santosa Asih Jalan Puri Asih VIII No.12, Cipamokolan",-6.944028499999999,107.6725129,OPERATIONAL,4.2,6,"school, point_of_interest, establishment",
