name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Al-Ikhlas Elementary School,"Jalan Karang Tineung Indah Dalam No.95-110, Cipedes",-6.885088900000001,107.5941366,OPERATIONAL,4.4,44,"primary_school, school, point_of_interest, establishment",
sdit Ibnu Taimiyah,"4H5V+65R, Gang H. Gojali, Cipedes",-6.891875499999999,107.5928776,OPERATIONAL,4.7,48,"school, point_of_interest, establishment",
TK AL-IKHLAS - YAYASAN IKHLASHUL AMAL,"Jalan Karang Tineung Indah Dalam No.84, RT.01/RW.04 Kel, Cipedes",-6.885287199999999,107.5941552,OPERATIONAL,5,2,"school, point_of_interest, establishment",
DTA ALHUDA 2,"4H7W+H5C, Dusun karang tingal blok suka asih RT.022/RW.011 desa, janggala",-6.8860581,107.5953932,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MIFTAHUL JANNAH,Jalan Karang Tineung Indah Dalam No.154 181,-6.885691299999999,107.591987,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Smkn 1 bandung,"Jalan Karang Tineung Indah Dalam No.67c, Cipedes",-6.886812600000001,107.592314,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren (PP) Al Kaustar,"JL Cibarengkot, RT 02 RW 10, Sukajadi, Cipedes",-6.887614999999999,107.593654,OPERATIONAL,1,1,"school, point_of_interest, establishment",
Smpn 26,"4H8V+94R, Jalan Karang Tineung Indah II, Cipedes",-6.884017899999999,107.5927668,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP Negeri 74 Bandung,"4H7R+FP6, Jalan Cipedes Tengah, Cipedes",-6.886344799999999,107.5917786,OPERATIONAL,4.7,15,"school, point_of_interest, establishment",
SD Negeri 194 Sukajadi,"Jalan Karang Tineung No.5A, Cipedes",-6.8836524,107.5946112,OPERATIONAL,4.8,28,"primary_school, school, point_of_interest, establishment",
